time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2001-01-01,28.0,17.5,0.2,0.2,0.0,5.14,9.4,111,1013.3,28.18,2.0,5.67
2001-01-02,29.6,20.2,0.6,0.6,0.0,3.9,7.3,115,1012.0,26.58,4.0,5.49
2001-01-03,31.2,20.8,0.0,0.0,0.0,4.47,8.5,101,1012.9,29.39,0.0,6.19
2001-01-04,32.5,21.4,0.0,0.0,0.0,3.52,6.6,86,1013.3,29.54,0.0,6.28
2001-01-05,31.5,24.0,8.9,8.9,0.0,4.69,9.7,300,1011.6,20.05,8.0,4.32
2001-01-06,33.5,22.7,0.1,0.1,0.0,3.68,9.6,327,1008.6,29.21,1.0,6.18
2001-01-07,30.2,22.6,4.8,4.8,0.0,6.21,14.7,336,1006.1,24.36,7.0,5.04
2001-01-08,32.8,24.2,10.7,10.7,0.0,5.28,18.0,314,1006.0,20.87,6.0,4.69
2001-01-09,29.3,23.5,8.8,8.8,0.0,2.76,9.6,203,1008.4,18.8,10.0,3.87
2001-01-10,32.7,22.9,3.9,3.9,0.0,4.4,11.7,348,1006.4,25.17,6.0,5.18
2001-01-11,25.8,18.8,24.9,24.9,0.0,6.7,12.7,196,1012.5,12.79,13.0,2.86
2001-01-12,24.0,16.2,0.0,0.0,0.0,4.61,8.6,98,1017.9,19.69,0.0,4.34
2001-01-13,29.0,19.4,0.0,0.0,0.0,5.2,9.9,86,1015.6,25.32,0.0,5.26
2001-01-14,30.0,20.9,10.6,10.6,0.0,3.59,9.0,53,1016.6,19.14,9.0,3.9
2001-01-15,29.4,21.7,4.3,4.3,0.0,3.14,6.7,60,1014.9,17.7,11.0,3.65
2001-01-16,30.3,22.0,2.8,2.8,0.0,3.62,7.3,18,1013.4,18.46,6.0,3.86
2001-01-17,32.2,22.8,1.4,1.4,0.0,3.78,9.3,338,1013.2,26.26,4.0,5.55
2001-01-18,33.2,23.5,15.9,15.9,0.0,3.88,10.9,333,1012.2,26.39,5.0,5.59
2001-01-19,27.2,22.6,8.8,8.8,0.0,4.08,11.5,212,1015.3,15.26,13.0,3.15
2001-01-20,23.3,20.1,3.2,3.2,0.0,5.83,10.3,129,1019.0,12.84,8.0,3.11
2001-01-21,26.3,19.4,0.0,0.0,0.0,5.97,11.5,99,1015.7,19.95,0.0,4.56
2001-01-22,29.0,20.2,0.7,0.7,0.0,3.5,8.4,87,1012.9,21.42,2.0,4.46
2001-01-23,30.3,21.5,1.0,1.0,0.0,3.0,6.6,112,1013.1,20.99,3.0,4.36
2001-01-24,30.6,22.2,13.0,13.0,0.0,3.71,8.3,108,1013.9,23.41,7.0,4.78
2001-01-25,30.8,22.5,1.4,1.4,0.0,3.16,6.8,97,1012.3,25.03,2.0,5.11
2001-01-26,30.1,22.4,0.9,0.9,0.0,4.44,7.6,141,1010.9,22.53,5.0,4.77
2001-01-27,31.7,22.6,2.5,2.5,0.0,3.28,8.6,76,1009.1,22.71,4.0,4.75
2001-01-28,30.1,22.2,20.8,20.8,0.0,5.71,11.3,293,1007.8,15.56,9.0,3.19
