time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2014-01-01,32.4,24.3,2.6,2.6,0.0,3.86,7.2,94,1006.9,24.08,5.0,5.16
2014-01-02,28.8,24.9,16.1,16.1,0.0,5.78,13.6,336,1002.2,9.42,11.0,2.35
2014-01-03,24.7,19.2,35.2,35.2,0.0,4.68,12.2,173,1010.5,3.26,19.0,1.03
2014-01-04,26.8,17.5,0.0,0.0,0.0,4.27,7.8,103,1017.8,28.01,0.0,5.64
2014-01-05,29.5,17.5,0.0,0.0,0.0,3.26,6.4,113,1016.4,32.04,0.0,6.44
2014-01-06,31.6,17.8,0.0,0.0,0.0,5.87,10.9,100,1014.6,32.1,0.0,6.61
2014-01-07,33.3,21.2,0.0,0.0,0.0,3.45,9.7,3,1010.0,29.77,0.0,6.39
2014-01-08,27.1,22.1,10.0,10.0,0.0,5.98,11.1,301,1010.0,11.2,13.0,2.64
2014-01-09,30.6,19.9,0.2,0.2,0.0,3.47,6.9,100,1011.0,26.75,1.0,5.49
2014-01-10,31.2,22.6,6.6,6.6,0.0,4.24,11.8,325,1010.4,21.59,3.0,4.59
2014-01-11,30.4,21.5,18.6,18.6,0.0,3.76,8.6,263,1012.5,18.96,9.0,3.97
2014-01-12,24.4,21.6,36.4,36.4,0.0,4.61,8.3,136,1017.4,7.86,19.0,1.68
2014-01-13,28.4,21.5,9.9,9.9,0.0,3.68,7.3,112,1015.1,21.83,15.0,4.22
2014-01-14,29.7,21.9,4.9,4.9,0.0,4.32,9.9,264,1012.5,23.41,6.0,4.54
2014-01-15,27.9,21.3,16.4,16.4,0.0,3.44,7.6,199,1012.2,21.25,8.0,4.15
2014-01-16,29.3,19.8,0.0,0.0,0.0,3.85,6.9,113,1012.8,27.86,0.0,5.68
2014-01-17,31.7,18.5,0.0,0.0,0.0,3.62,6.8,113,1013.6,30.89,0.0,6.4
2014-01-18,33.2,19.9,0.0,0.0,0.0,2.65,5.1,71,1013.3,29.53,0.0,6.23
2014-01-19,33.1,20.7,0.0,0.0,0.0,3.5,7.5,339,1011.3,28.74,0.0,6.12
2014-01-20,34.5,23.3,0.0,0.0,0.0,4.32,6.9,81,1009.9,30.02,0.0,6.89
2014-01-21,35.0,22.1,0.0,0.0,0.0,5.46,10.5,331,1007.9,29.38,0.0,7.04
2014-01-22,35.6,23.7,0.3,0.3,0.0,3.0,8.4,311,1009.7,26.56,1.0,6.05
2014-01-23,36.1,23.9,0.1,0.1,0.0,4.53,10.9,354,1008.5,28.7,1.0,6.78
2014-01-24,35.8,26.1,19.4,19.4,0.0,7.16,16.0,304,1007.4,28.48,7.0,6.86
2014-01-25,24.5,20.4,12.5,12.5,0.0,8.16,14.5,149,1016.1,6.05,15.0,2.36
2014-01-26,26.5,20.3,11.0,11.0,0.0,5.79,10.5,107,1015.4,13.01,13.0,2.87
2014-01-27,32.5,22.1,1.4,1.4,0.0,3.23,8.4,56,1013.6,25.46,2.0,5.37
2014-01-28,34.1,23.3,1.6,1.6,0.0,4.16,11.2,338,1012.3,27.75,1.0,5.99
2014-01-29,34.6,23.5,2.6,2.6,0.0,4.04,9.6,297,1012.8,27.56,5.0,6.02
2014-01-30,34.0,24.5,4.2,4.2,0.0,3.6,9.8,324,1012.4,26.66,3.0,5.68
2014-01-31,34.0,23.9,1.1,1.1,0.0,4.68,12.3,326,1012.2,24.51,2.0,5.47
2014-02-01,32.5,23.3,7.9,7.9,0.0,3.05,9.2,322,1011.6,22.6,3.0,4.82
2014-02-02,35.2,23.7,0.3,0.3,0.0,3.89,9.9,334,1009.4,27.24,1.0,6.01
2014-02-03,36.2,25.7,0.0,0.0,0.0,3.4,8.3,11,1009.3,26.2,0.0,6.02
2014-02-04,34.9,25.0,1.6,1.6,0.0,2.72,6.3,340,1010.3,25.47,1.0,5.62
2014-02-05,36.8,23.9,0.0,0.0,0.0,3.12,6.4,8,1010.3,27.19,0.0,6.34
2014-02-06,37.1,25.0,0.0,0.0,0.0,3.94,8.6,313,1010.2,28.24,0.0,6.8
2014-02-07,36.5,25.0,0.7,0.7,0.0,4.12,10.6,315,1009.9,26.9,3.0,6.31
2014-02-08,35.4,26.2,0.0,0.0,0.0,5.3,7.1,349,1010.7,26.21,0.0,6.24
