time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2002-01-01,29.2,22.1,0.8,0.8,0.0,7.4,14.0,289,1002.7,24.47,4.0,5.23
2002-01-02,26.9,20.8,11.4,11.4,0.0,3.93,10.5,225,1005.7,19.14,9.0,4.03
2002-01-03,28.1,19.4,0.1,0.1,0.0,3.81,8.5,214,1008.6,24.98,1.0,5.14
2002-01-04,27.4,20.1,1.0,1.0,0.0,3.97,7.6,164,1010.9,23.4,6.0,4.71
2002-01-05,26.5,20.6,0.4,0.4,0.0,4.61,8.8,93,1011.7,15.77,3.0,3.5
2002-01-06,29.3,21.0,3.9,3.9,0.0,4.6,12.5,310,1007.7,25.57,7.0,5.01
2002-01-07,28.0,20.6,0.0,0.0,0.0,5.82,12.1,289,1008.5,26.02,0.0,5.45
2002-01-08,28.0,18.6,0.9,0.9,0.0,4.53,9.1,152,1012.5,24.72,7.0,5.08
2002-01-09,28.2,20.8,0.5,0.5,0.0,6.62,12.5,121,1017.8,22.05,3.0,4.9
2002-01-10,28.3,21.7,2.0,2.0,0.0,7.24,13.9,107,1019.4,20.26,2.0,4.5
2002-01-11,31.0,21.9,0.6,0.6,0.0,4.24,9.3,97,1017.9,20.86,2.0,4.62
2002-01-12,31.2,21.4,2.2,2.2,0.0,3.67,8.1,52,1014.2,23.19,2.0,4.91
2002-01-13,28.9,21.6,0.4,0.4,0.0,4.6,9.5,99,1008.8,22.69,2.0,4.86
2002-01-14,29.6,21.3,2.4,2.4,0.0,8.57,15.6,164,1008.6,20.26,10.0,4.53
2002-01-15,24.2,20.0,0.0,0.0,0.0,7.78,15.0,167,1013.7,14.22,0.0,4.49
2002-01-16,24.5,17.5,0.1,0.1,0.0,4.92,9.4,152,1014.7,18.42,1.0,4.49
2002-01-17,25.2,17.2,0.4,0.4,0.0,4.56,8.4,134,1016.0,19.56,2.0,4.42
2002-01-18,25.8,15.6,0.0,0.0,0.0,5.65,10.5,111,1017.1,23.26,0.0,5.07
2002-01-19,30.1,17.7,0.0,0.0,0.0,6.38,11.9,96,1014.6,30.6,0.0,6.63
2002-01-20,32.7,18.4,0.0,0.0,0.0,4.0,7.8,83,1012.5,29.19,0.0,6.28
2002-01-21,35.0,20.7,0.2,0.2,0.0,4.24,9.4,200,1011.8,25.6,1.0,6.25
2002-01-22,28.9,23.4,11.0,11.0,0.0,3.6,8.5,130,1012.8,19.93,10.0,4.14
2002-01-23,31.1,21.4,0.8,0.8,0.0,3.61,6.5,122,1012.1,22.67,1.0,4.88
2002-01-24,31.2,21.7,6.5,6.5,0.0,5.02,8.7,98,1009.7,22.61,8.0,4.9
2002-01-25,30.5,22.2,9.0,9.0,0.0,4.37,11.7,84,1005.8,21.78,15.0,4.4
2002-01-26,27.8,21.6,7.0,7.0,0.0,3.94,9.2,297,1007.6,13.74,10.0,2.8
2002-01-27,27.8,22.7,39.1,39.1,0.0,8.47,17.6,316,1005.3,8.48,15.0,2.02
2002-01-28,29.7,21.4,0.0,0.0,0.0,6.12,11.3,289,1005.4,27.69,0.0,5.55
2002-01-29,32.4,20.0,0.0,0.0,0.0,3.3,5.6,66,1008.2,29.39,0.0,6.22
2002-01-30,31.4,19.3,3.9,3.9,0.0,2.61,6.2,65,1009.6,25.28,4.0,5.18
2002-01-31,27.4,23.2,11.0,11.0,0.0,7.7,14.6,318,1004.8,7.52,8.0,2.02
2002-02-01,28.4,21.3,0.3,0.3,0.0,7.37,13.7,275,1007.9,29.28,2.0,6.18
2002-02-02,25.0,17.4,0.6,0.6,0.0,4.83,9.1,203,1014.9,22.06,3.0,4.62
2002-02-03,24.5,16.9,1.3,1.3,0.0,4.88,9.1,117,1016.8,22.06,7.0,4.46
