time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2003-02-27,33.0,21.6,0.0,0.0,0.0,3.06,7.7,50,1011.7,25.24,0.0,5.22
2003-02-28,33.3,24.3,6.6,6.6,0.0,2.8,8.6,139,1012.5,23.01,4.0,4.82
2003-03-01,33.6,24.5,6.3,6.3,0.0,3.26,10.1,7,1010.6,22.24,3.0,4.67
2003-03-02,28.7,23.9,6.7,6.7,0.0,4.19,7.9,152,1010.3,15.65,7.0,3.14
2003-03-03,29.5,23.2,13.4,13.4,0.0,4.39,10.3,171,1011.1,16.53,5.0,3.31
2003-03-04,28.7,23.1,0.1,0.1,0.0,5.24,9.3,120,1015.0,18.28,1.0,3.78
2003-03-05,30.2,22.0,0.6,0.6,0.0,4.96,9.3,102,1014.1,22.58,3.0,4.7
2003-03-06,31.6,22.3,0.7,0.7,0.0,3.5,7.2,106,1010.8,22.87,2.0,4.72
2003-03-07,29.9,24.3,0.0,0.0,0.0,3.01,4.7,116,1011.1,12.11,0.0,2.67
2003-03-08,30.7,23.4,6.3,6.3,0.0,4.73,9.2,105,1010.7,20.84,6.0,4.39
2003-03-09,30.4,23.2,1.6,1.6,0.0,5.11,10.3,94,1010.3,21.72,5.0,4.63
2003-03-10,30.3,23.3,2.4,2.4,0.0,3.8,7.4,74,1007.8,19.23,5.0,4.0
2003-03-11,30.2,23.2,14.4,14.4,0.0,5.51,10.1,311,1005.3,18.19,6.0,3.6
2003-03-12,26.6,22.3,13.5,13.5,0.0,4.71,10.2,284,1003.9,11.99,16.0,2.38
2003-03-13,24.8,20.1,0.9,0.9,0.0,4.08,9.0,244,1009.9,13.45,2.0,2.84
2003-03-14,27.7,18.5,0.0,0.0,0.0,3.13,4.7,134,1012.4,22.58,0.0,4.34
2003-03-15,27.7,19.1,3.0,3.0,0.0,3.7,8.6,296,1014.1,15.37,4.0,3.08
2003-03-16,24.5,20.4,5.1,5.1,0.0,4.46,8.6,183,1016.7,6.31,13.0,1.32
2003-03-17,25.2,17.1,0.0,0.0,0.0,3.45,7.4,117,1018.6,21.95,0.0,4.33
2003-03-18,28.9,15.7,0.0,0.0,0.0,3.04,5.7,58,1013.4,23.32,0.0,4.48
2003-03-19,30.8,19.0,1.1,1.1,0.0,2.06,6.7,17,1012.5,21.46,1.0,4.33
2003-03-20,30.9,21.4,26.4,26.4,0.0,6.82,10.5,313,1011.1,15.29,9.0,3.32
2003-03-21,22.4,17.6,5.4,5.4,0.0,6.91,12.4,178,1017.3,11.56,5.0,3.11
2003-03-22,23.8,15.3,0.0,0.0,0.0,3.85,7.3,114,1019.6,18.52,0.0,3.63
2003-03-23,25.2,15.3,0.0,0.0,0.0,4.75,8.6,111,1020.3,19.96,0.0,4.12
2003-03-24,26.0,15.7,0.0,0.0,0.0,5.1,9.0,108,1021.8,20.69,0.0,4.26
2003-03-25,24.9,18.5,0.0,0.0,0.0,4.95,9.2,105,1021.7,17.31,0.0,3.72
2003-03-26,25.6,18.5,0.3,0.3,0.0,5.57,10.0,97,1018.1,17.71,1.0,3.73
2003-03-27,27.5,18.5,0.1,0.1,0.0,4.52,8.0,97,1017.5,21.25,1.0,4.28
2003-03-28,28.2,17.5,0.0,0.0,0.0,4.2,7.6,91,1018.1,21.84,0.0,4.29
2003-03-29,30.0,18.6,0.0,0.0,0.0,2.86,6.8,358,1015.3,21.42,0.0,4.24
2003-03-30,30.4,20.4,3.7,3.7,0.0,4.08,8.5,211,1012.0,18.92,6.0,3.86
2003-03-31,23.6,20.9,0.0,0.0,0.0,4.84,9.2,175,1014.7,7.41,0.0,1.82
2003-04-01,23.3,18.8,0.0,0.0,0.0,4.18,7.9,160,1018.6,10.37,0.0,2.58
2003-04-02,22.9,16.6,0.1,0.1,0.0,4.84,9.4,171,1019.6,17.0,1.0,3.14
2003-04-03,21.8,15.7,7.1,7.1,0.0,5.3,9.5,100,1016.9,7.11,9.0,1.72
2003-04-04,23.5,18.3,51.0,51.0,0.0,5.79,16.6,247,1008.1,8.88,14.0,1.97
2003-04-05,22.3,17.0,1.4,1.4,0.0,5.73,10.1,268,1012.4,12.79,9.0,2.49
2003-04-06,22.5,15.8,0.2,0.2,0.0,3.91,9.7,256,1014.5,17.5,1.0,2.96
2003-04-07,22.9,13.8,0.0,0.0,0.0,2.47,4.9,259,1015.0,18.62,0.0,3.22
2003-04-08,24.7,13.8,0.0,0.0,0.0,3.42,6.3,87,1013.8,19.46,0.0,3.51
2003-04-09,25.6,15.0,0.0,0.0,0.0,3.69,8.0,288,1013.8,19.13,0.0,3.36
2003-04-10,21.9,15.3,0.3,0.3,0.0,3.92,10.3,220,1015.2,13.64,2.0,2.58
2003-04-11,18.5,12.4,0.0,0.0,0.0,9.2,16.9,280,1015.5,18.57,0.0,4.08
2003-04-12,18.9,11.4,0.0,0.0,0.0,6.54,12.4,277,1020.6,14.99,0.0,3.0
2003-04-13,21.2,9.8,0.0,0.0,0.0,2.83,4.8,182,1025.7,17.46,0.0,2.96
2003-04-14,24.4,11.8,0.0,0.0,0.0,2.8,4.7,74,1022.7,19.44,0.0,3.37
2003-04-15,25.8,12.4,0.0,0.0,0.0,2.6,5.8,4,1018.4,18.82,0.0,3.3
2003-04-16,26.2,14.6,0.0,0.0,0.0,3.26,5.7,101,1016.3,19.04,0.0,3.5
2003-04-17,27.3,15.2,0.0,0.0,0.0,3.01,5.5,106,1013.9,18.7,0.0,3.5
2003-04-18,28.6,18.4,8.8,8.8,0.0,4.53,13.5,37,1006.0,11.39,7.0,2.6
2003-04-19,22.1,16.6,12.0,12.0,0.0,9.54,16.8,295,1010.7,11.39,3.0,2.83
2003-04-20,20.5,12.9,0.0,0.0,0.0,4.05,7.8,291,1017.5,16.91,0.0,2.79
2003-04-21,24.2,10.4,0.0,0.0,0.0,3.37,6.1,84,1017.8,18.13,0.0,3.17
2003-04-22,27.9,13.7,0.0,0.0,0.0,2.82,4.8,78,1018.5,17.23,0.0,3.2
2003-04-23,28.5,15.9,0.0,0.0,0.0,2.58,5.2,83,1018.3,16.25,0.0,3.08
2003-04-24,28.4,19.5,0.0,0.0,0.0,3.0,5.6,140,1016.0,13.27,0.0,2.58
2003-04-25,27.8,19.4,3.7,3.7,0.0,2.5,9.9,238,1013.7,10.67,3.0,2.12
2003-04-26,27.6,20.2,0.0,0.0,0.0,3.77,6.7,128,1014.9,11.57,0.0,2.3
2003-04-27,27.7,19.8,0.0,0.0,0.0,3.45,5.5,115,1014.1,8.79,0.0,1.83
2003-04-28,24.1,20.2,22.7,22.7,0.0,3.04,9.3,163,1013.6,6.02,16.0,1.22
