time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2007-01-01,33.1,22.5,0.0,0.0,0.0,5.02,9.9,90,1011.1,30.78,0.0,6.86
2007-01-02,33.0,22.6,0.0,0.0,0.0,4.43,8.2,83,1010.2,28.38,0.0,6.4
2007-01-03,31.2,25.1,8.6,8.6,0.0,3.28,6.9,73,1009.2,18.04,4.0,3.99
2007-01-04,29.4,24.4,8.9,8.9,0.0,3.22,7.1,81,1005.9,15.83,18.0,3.38
2007-01-05,29.4,23.4,7.6,7.6,0.0,5.81,11.2,174,1004.8,19.58,15.0,4.13
2007-01-06,26.4,22.0,0.4,0.4,0.0,5.87,10.8,161,1011.6,17.81,2.0,4.36
2007-01-07,28.0,20.0,0.0,0.0,0.0,6.14,11.4,113,1015.9,25.64,0.0,5.57
2007-01-08,26.4,20.3,0.0,0.0,0.0,6.74,13.1,104,1015.4,23.33,0.0,5.42
2007-01-09,31.2,20.4,0.0,0.0,0.0,4.73,9.3,101,1011.3,29.09,0.0,6.52
2007-01-10,32.8,21.5,0.3,0.3,0.0,4.63,8.6,96,1009.1,25.83,2.0,5.76
2007-01-11,32.8,23.7,25.8,25.8,0.0,3.14,7.4,79,1007.8,17.07,9.0,3.76
2007-01-12,28.7,23.1,8.2,8.2,0.0,5.0,11.5,195,1005.9,23.58,16.0,4.61
2007-01-13,30.8,21.5,0.0,0.0,0.0,2.95,6.5,290,1004.9,29.91,0.0,6.1
2007-01-14,24.0,19.1,0.0,0.0,0.0,7.62,12.9,170,1010.5,22.01,0.0,4.75
2007-01-15,26.4,15.9,0.0,0.0,0.0,4.0,7.8,141,1013.7,31.04,0.0,6.17
2007-01-16,27.2,16.6,0.0,0.0,0.0,4.85,8.7,118,1016.5,31.38,0.0,6.39
2007-01-17,30.1,19.3,0.0,0.0,0.0,4.41,8.6,337,1009.2,17.77,0.0,4.15
2007-01-18,27.5,21.9,9.6,9.6,0.0,4.1,11.8,278,1005.9,20.62,7.0,4.04
2007-01-19,31.9,19.1,0.0,0.0,0.0,5.48,10.6,76,1008.4,28.96,0.0,6.22
2007-01-20,24.1,20.5,28.3,28.3,0.0,6.94,13.4,130,1012.2,7.76,19.0,1.95
2007-01-21,24.4,19.0,0.0,0.0,0.0,5.27,10.0,125,1018.3,23.46,0.0,4.8
2007-01-22,27.6,17.6,0.0,0.0,0.0,6.1,11.3,100,1015.0,27.56,0.0,5.9
2007-01-23,30.5,19.3,0.2,0.2,0.0,4.04,8.9,81,1011.0,25.86,1.0,5.49
2007-01-24,32.8,21.2,0.0,0.0,0.0,3.73,8.0,25,1010.0,27.05,0.0,5.76
2007-01-25,33.1,22.3,0.0,0.0,0.0,3.72,8.3,132,1009.6,27.15,0.0,5.86
2007-01-26,29.8,23.6,23.6,23.6,0.0,4.23,7.8,108,1008.8,11.58,9.0,2.67
2007-01-27,31.3,22.3,0.2,0.2,0.0,2.8,8.4,255,1007.4,24.92,2.0,5.07
2007-01-28,26.8,23.3,0.9,0.9,0.0,5.77,11.7,161,1009.4,11.68,3.0,2.67
2007-01-29,25.7,21.9,2.0,2.0,0.0,4.52,8.6,112,1011.4,15.3,7.0,3.33
2007-01-30,27.9,20.6,0.8,0.8,0.0,5.59,10.4,116,1012.8,22.62,5.0,4.69
2007-01-31,28.4,20.6,5.4,5.4,0.0,4.54,9.3,119,1012.2,21.3,11.0,4.17
2007-02-01,29.9,20.5,0.0,0.0,0.0,3.0,7.1,143,1013.2,25.66,0.0,5.36
2007-02-02,30.8,20.2,0.0,0.0,0.0,3.31,6.5,104,1013.3,28.35,0.0,5.95
2007-02-03,31.7,19.2,0.0,0.0,0.0,4.22,7.9,107,1011.2,30.63,0.0,6.63
2007-02-04,33.6,18.1,0.0,0.0,0.0,2.89,6.0,48,1008.5,27.37,0.0,5.86
2007-02-05,30.6,23.6,11.0,11.0,0.0,4.16,10.3,10,1006.8,18.0,12.0,3.87
2007-02-06,30.7,22.4,10.5,10.5,0.0,6.58,13.9,324,1004.3,21.98,17.0,4.57
2007-02-07,28.7,22.4,5.1,5.1,0.0,5.49,11.8,198,1010.9,24.0,5.0,4.78
2007-02-08,27.8,20.5,0.0,0.0,0.0,5.88,11.1,124,1018.2,26.78,0.0,5.45
2007-02-09,28.9,18.7,0.0,0.0,0.0,6.22,11.7,103,1018.5,24.71,0.0,5.19
2007-02-10,30.9,20.7,10.8,10.8,0.0,5.78,12.2,130,1015.0,22.88,9.0,4.75
2007-02-11,25.5,19.8,4.2,4.2,0.0,6.3,12.1,126,1017.7,22.13,6.0,4.6
2007-02-12,25.7,17.3,0.0,0.0,0.0,6.28,11.5,105,1017.1,22.27,0.0,4.8
2007-02-13,28.9,18.0,0.0,0.0,0.0,6.0,10.9,95,1013.4,28.73,0.0,5.95
2007-02-14,29.5,17.9,0.2,0.2,0.0,4.4,8.7,92,1010.8,25.7,1.0,5.31
2007-02-15,30.5,19.6,0.1,0.1,0.0,4.74,8.5,95,1009.3,26.63,1.0,5.57
2007-02-16,33.2,20.0,0.0,0.0,0.0,3.82,8.2,54,1006.6,26.87,0.0,5.91
2007-02-17,32.7,23.6,16.9,16.9,0.0,7.3,15.7,341,1004.1,15.79,11.0,3.95
2007-02-18,24.7,20.3,2.7,2.7,0.0,4.41,8.7,221,1011.1,18.42,5.0,3.98
2007-02-19,25.7,18.6,0.0,0.0,0.0,4.12,8.7,112,1014.7,16.48,0.0,3.81
2007-02-20,24.6,20.2,0.4,0.4,0.0,5.69,11.2,118,1014.7,8.28,2.0,2.21
2007-02-21,28.2,20.4,1.9,1.9,0.0,6.21,11.8,96,1014.5,18.72,5.0,3.97
2007-02-22,27.7,22.2,23.4,23.4,0.0,4.03,9.1,70,1014.8,7.12,19.0,1.6
2007-02-23,29.8,23.4,12.9,12.9,0.0,2.3,6.2,26,1015.2,11.07,15.0,2.39
2007-02-24,29.9,23.6,13.3,13.3,0.0,4.65,14.3,303,1012.4,15.59,12.0,3.12
2007-02-25,30.8,22.6,1.5,1.5,0.0,3.51,7.7,313,1012.4,22.62,5.0,4.65
2007-02-26,32.4,20.0,0.0,0.0,0.0,4.3,8.4,89,1012.3,27.01,0.0,5.71
2007-02-27,32.0,19.9,0.0,0.0,0.0,3.71,8.3,25,1009.6,25.16,0.0,5.25
2007-02-28,32.5,23.1,3.2,3.2,0.0,3.75,8.9,329,1008.9,23.15,3.0,4.91
2007-03-01,33.8,23.2,0.0,0.0,0.0,5.46,12.8,348,1007.5,24.44,0.0,5.51
2007-03-02,28.3,23.2,24.8,24.8,0.0,5.58,9.4,165,1013.0,10.75,15.0,2.34
2007-03-03,23.1,22.0,21.5,21.5,0.0,5.82,10.4,132,1018.3,3.08,23.0,0.75
2007-03-04,32.0,22.1,0.0,0.0,0.0,5.79,11.2,29,1013.7,20.55,0.0,4.33
2007-03-05,31.7,23.4,7.1,7.1,0.0,3.61,11.4,300,1012.7,20.72,3.0,4.34
2007-03-06,31.0,23.1,5.7,5.7,0.0,1.5,6.5,107,1015.4,18.41,8.0,3.81
2007-03-07,29.7,23.8,0.9,0.9,0.0,3.4,6.8,121,1016.6,17.06,5.0,3.59
2007-03-08,33.3,23.0,0.0,0.0,0.0,4.32,11.8,9,1010.4,22.55,0.0,4.94
2007-03-09,31.9,23.6,7.1,7.1,0.0,5.18,15.6,297,1008.3,21.35,10.0,4.81
2007-03-10,23.6,19.6,8.4,8.4,0.0,2.92,10.3,269,1012.6,10.2,10.0,2.11
2007-03-11,26.8,16.7,0.0,0.0,0.0,3.69,6.0,176,1014.4,23.52,0.0,4.57
2007-03-12,29.0,19.1,0.0,0.0,0.0,3.3,6.5,124,1013.8,21.2,0.0,4.23
