time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2022-01-01,34.5,21.1,0.0,0.0,5.94,126
2022-01-02,36.2,21.5,1.4,1.4,6.82,135
2022-01-03,33.9,24.3,1.0,1.0,4.76,94
2022-01-04,32.1,25.2,2.3,2.3,5.71,16
2022-01-05,26.3,21.4,25.6,25.6,9.93,180
2022-01-06,25.4,20.7,0.3,0.3,7.29,136
2022-01-07,26.0,18.8,0.2,0.2,7.13,107
2022-01-08,28.0,19.5,0.0,0.0,8.08,97
2022-01-09,28.8,19.6,0.0,0.0,8.05,91
2022-01-10,29.7,19.3,0.0,0.0,6.88,114
2022-01-11,32.9,18.9,0.0,0.0,6.49,140
2022-01-12,32.8,19.7,0.0,0.0,6.16,132
2022-01-13,33.7,19.7,0.0,0.0,5.95,125
2022-01-14,36.9,21.2,0.6,0.6,4.61,6
2022-01-15,36.4,25.5,1.5,1.5,6.04,326
2022-01-16,37.1,25.9,10.9,10.9,6.16,340
2022-01-17,35.8,24.8,9.4,9.4,5.63,342
2022-01-18,30.9,24.6,1.0,1.0,4.1,127
2022-01-19,36.9,23.8,0.0,0.0,4.9,98
2022-01-20,36.7,25.1,0.1,0.1,6.07,126
2022-01-21,35.7,24.8,0.0,0.0,5.4,105
2022-01-22,39.2,25.5,0.0,0.0,4.75,12
2022-01-23,37.2,27.3,2.1,2.1,5.6,283
2022-01-24,35.6,26.2,2.8,2.8,4.83,172
2022-01-25,35.1,26.0,0.2,0.2,5.69,150
2022-01-26,36.6,24.7,10.1,10.1,7.39,310
2022-01-27,25.2,21.9,22.2,22.2,9.16,156
2022-01-28,25.5,20.4,0.1,0.1,6.98,114
2022-01-29,26.8,18.4,0.0,0.0,6.72,109
2022-01-30,28.9,19.2,0.7,0.7,6.43,88
2022-01-31,32.8,21.1,0.5,0.5,6.25,151
2022-02-01,27.6,21.3,0.1,0.1,5.66,143
2022-02-02,32.6,19.4,0.0,0.0,6.94,106
2022-02-03,36.1,22.1,0.0,0.0,6.94,48
2022-02-04,31.9,24.1,33.2,33.2,5.0,343
2022-02-05,29.8,22.1,8.1,8.1,8.14,298
2022-02-06,27.0,20.7,0.0,0.0,7.22,275
2022-02-07,25.5,15.8,0.0,0.0,6.14,269
2022-02-08,27.5,16.8,0.0,0.0,7.15,186
2022-02-09,25.6,18.4,1.1,1.1,6.3,127
2022-02-10,30.6,19.6,0.0,0.0,6.24,101
2022-02-11,32.0,20.9,0.3,0.3,4.81,95
2022-02-12,32.6,21.0,0.0,0.0,5.74,108
2022-02-13,25.5,20.4,20.1,20.1,3.7,204
2022-02-14,27.9,14.6,0.2,0.2,4.75,273
2022-02-15,29.3,17.1,0.0,0.0,5.24,147
2022-02-16,30.8,18.0,0.0,0.0,5.99,116
2022-02-17,30.2,18.6,0.0,0.0,5.29,136
2022-02-18,28.2,20.3,1.2,1.2,6.25,110
2022-02-19,29.8,18.4,0.0,0.0,5.38,115
2022-02-20,32.7,19.6,0.8,0.8,4.62,357
2022-02-21,30.8,21.9,20.1,20.1,6.11,337
