time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2018-01-01,30.5,21.0,4.1,4.1,0.0,2.69,9.8,149,1006.0,22.4,8.0,4.62
2018-01-02,26.9,22.1,14.0,14.0,0.0,5.16,9.3,206,1003.0,14.38,15.0,2.93
2018-01-03,29.5,19.3,1.1,1.1,0.0,7.18,12.9,267,1006.7,26.15,3.0,5.31
2018-01-04,32.8,18.4,0.0,0.0,0.0,4.0,7.9,35,1010.5,32.07,0.0,7.03
2018-01-05,34.4,20.4,0.0,0.0,0.0,5.23,10.3,360,1009.3,27.31,0.0,6.6
2018-01-06,28.3,21.7,1.3,1.3,0.0,7.7,14.6,174,1012.6,20.11,2.0,5.08
2018-01-07,26.7,19.2,0.0,0.0,0.0,6.59,12.1,130,1017.8,29.49,0.0,6.73
2018-01-08,29.0,19.9,0.0,0.0,0.0,7.87,14.1,109,1019.0,26.91,0.0,6.54
2018-01-09,30.8,20.0,0.1,0.1,0.0,9.01,16.2,95,1019.2,27.75,1.0,6.51
2018-01-10,30.8,22.5,4.5,4.5,0.0,6.4,11.0,76,1017.0,24.98,3.0,5.52
2018-01-11,29.8,22.4,3.4,3.4,0.0,5.08,10.0,106,1013.9,22.23,8.0,4.9
2018-01-12,29.4,22.3,1.0,1.0,0.0,5.97,11.5,114,1009.9,22.9,6.0,5.03
2018-01-13,30.7,21.6,0.1,0.1,0.0,4.81,9.8,108,1006.9,25.37,1.0,5.55
2018-01-14,29.7,23.0,5.9,5.9,0.0,4.92,11.1,341,1005.9,19.23,10.0,4.02
2018-01-15,29.4,23.8,11.9,11.9,0.0,6.02,13.9,295,1006.8,18.06,16.0,3.94
2018-01-16,27.2,22.7,1.1,1.1,0.0,6.12,11.1,128,1014.4,16.63,8.0,3.99
2018-01-17,30.0,21.8,3.7,3.7,0.0,5.02,8.6,99,1012.3,19.08,5.0,4.04
2018-01-18,30.1,23.1,10.0,10.0,0.0,6.2,15.2,274,1009.3,19.87,6.0,4.14
2018-01-19,29.7,19.7,0.0,0.0,0.0,5.24,8.9,130,1014.3,29.95,0.0,6.42
2018-01-20,31.6,17.6,0.0,0.0,0.0,6.33,11.5,90,1013.4,30.56,0.0,6.94
2018-01-21,26.6,22.2,14.1,14.1,0.0,4.42,12.6,82,1010.4,13.13,14.0,2.9
2018-01-22,28.6,23.0,5.5,5.5,0.0,4.92,13.0,340,1005.9,17.09,10.0,3.42
2018-01-23,30.5,22.2,5.1,5.1,0.0,6.82,13.1,301,1006.2,18.5,10.0,3.88
2018-01-24,31.8,22.4,14.3,14.3,0.0,4.83,10.0,292,1009.5,22.88,9.0,4.53
2018-01-25,25.5,21.6,1.1,1.1,0.0,6.82,12.5,145,1015.0,16.53,4.0,4.14
2018-01-26,26.6,19.9,0.0,0.0,0.0,7.85,14.5,100,1015.7,22.16,0.0,5.08
2018-01-27,29.5,21.0,0.0,0.0,0.0,6.32,11.5,89,1011.9,25.21,0.0,5.72
2018-01-28,28.7,22.1,14.2,14.2,0.0,5.24,11.0,325,1007.9,15.93,12.0,3.35
2018-01-29,25.7,20.7,0.6,0.6,0.0,6.78,12.4,171,1010.0,26.17,2.0,4.78
2018-01-30,26.9,20.3,2.2,2.2,0.0,6.96,12.4,104,1011.0,22.07,13.0,4.44
2018-01-31,27.7,20.2,0.2,0.2,0.0,6.45,12.0,104,1013.2,22.81,2.0,4.74
2018-02-01,28.8,19.4,0.0,0.0,0.0,6.04,11.3,115,1012.6,27.43,0.0,5.54
2018-02-02,28.7,18.3,0.0,0.0,0.0,4.14,8.1,142,1010.9,30.3,0.0,6.03
2018-02-03,26.0,21.2,0.1,0.1,0.0,5.8,10.4,135,1012.5,17.27,1.0,4.1
2018-02-04,26.8,20.0,0.0,0.0,0.0,6.36,11.8,105,1014.5,22.31,0.0,5.09
2018-02-05,29.4,18.0,0.0,0.0,0.0,6.16,10.9,100,1012.0,29.6,0.0,6.18
2018-02-06,29.7,19.4,0.0,0.0,0.0,6.35,11.7,100,1009.4,24.86,0.0,5.39
2018-02-07,29.9,19.5,0.0,0.0,0.0,6.4,11.5,111,1009.4,26.69,0.0,5.75
2018-02-08,32.1,20.1,0.0,0.0,0.0,5.87,10.9,103,1008.8,28.3,0.0,6.25
2018-02-09,33.4,22.1,2.9,2.9,0.0,4.72,11.6,349,1008.0,22.46,3.0,5.34
2018-02-10,31.5,23.2,1.0,1.0,0.0,6.5,11.9,167,1009.8,23.77,4.0,5.31
2018-02-11,26.0,22.1,3.1,3.1,0.0,9.05,16.1,152,1012.1,13.31,8.0,3.05
2018-02-12,23.4,19.6,1.1,1.1,0.0,7.94,15.0,171,1016.5,19.55,5.0,4.57
2018-02-13,25.5,15.5,0.0,0.0,0.0,6.6,12.1,136,1020.6,26.6,0.0,5.32
2018-02-14,27.3,17.9,0.0,0.0,0.0,7.41,13.7,109,1021.5,24.79,0.0,5.39
2018-02-15,29.0,17.1,0.0,0.0,0.0,7.41,13.8,98,1021.3,27.44,0.0,6.19
2018-02-16,29.9,20.1,0.0,0.0,0.0,7.21,13.5,104,1019.7,27.08,0.0,6.18
2018-02-17,30.8,19.5,0.0,0.0,0.0,6.71,12.0,96,1015.5,26.92,0.0,6.09
2018-02-18,32.5,19.6,0.0,0.0,0.0,6.01,11.2,80,1010.2,25.9,0.0,5.92
2018-02-19,28.3,21.5,3.3,3.3,0.0,4.59,9.5,44,1005.8,12.42,9.0,3.08
2018-02-20,29.5,21.1,9.4,9.4,0.0,4.04,8.6,290,1002.8,15.17,16.0,3.19
2018-02-21,26.7,20.2,7.5,7.5,0.0,4.12,8.5,270,1007.2,18.88,9.0,3.52
2018-02-22,26.2,17.9,2.9,2.9,0.0,4.74,9.9,245,1011.4,22.97,6.0,4.33
2018-02-23,25.8,18.5,1.1,1.1,0.0,5.97,10.7,153,1015.6,20.25,4.0,4.05
2018-02-24,27.4,19.9,1.0,1.0,0.0,5.14,9.5,125,1016.2,23.14,3.0,4.62
2018-02-25,27.9,19.6,0.7,0.7,0.0,4.7,9.5,137,1015.5,22.64,3.0,4.44
2018-02-26,28.4,20.5,2.0,2.0,0.0,4.03,8.7,160,1013.6,21.04,3.0,4.17
2018-02-27,28.0,21.1,3.9,3.9,0.0,4.85,9.0,129,1012.0,17.99,5.0,3.5
2018-02-28,27.6,21.3,1.9,1.9,0.0,4.46,8.9,147,1011.3,17.28,6.0,3.4
2018-03-01,28.4,22.9,5.9,5.9,0.0,4.6,10.6,133,1012.8,21.92,4.0,4.26
2018-03-02,28.0,23.0,0.1,0.1,0.0,5.39,10.3,158,1013.9,20.42,1.0,4.24
2018-03-03,28.1,20.4,0.0,0.0,0.0,4.94,10.1,147,1012.4,23.92,0.0,4.94
2018-03-04,29.9,22.3,4.6,4.6,0.0,4.26,9.3,86,1008.9,22.07,7.0,4.33
2018-03-05,30.7,21.5,1.2,1.2,0.0,4.3,10.9,204,1007.9,21.83,1.0,4.43
2018-03-06,27.2,21.6,1.9,1.9,0.0,7.23,13.8,170,1010.7,17.88,9.0,3.81
2018-03-07,26.7,17.7,0.0,0.0,0.0,6.59,12.1,176,1013.4,24.75,0.0,5.21
2018-03-08,25.9,16.9,0.0,0.0,0.0,5.23,9.3,126,1013.8,20.58,0.0,4.21
2018-03-09,27.4,18.2,0.0,0.0,0.0,5.47,9.9,105,1011.8,16.5,0.0,3.77
2018-03-10,31.0,19.7,0.0,0.0,0.0,3.0,6.3,95,1008.2,23.34,0.0,4.76
2018-03-11,34.2,21.3,0.5,0.5,0.0,9.07,17.1,251,1006.9,23.69,3.0,6.07
2018-03-12,25.5,16.8,3.7,3.7,0.0,5.46,10.7,214,1010.2,25.08,2.0,4.83
2018-03-13,26.6,15.4,0.2,0.2,0.0,3.42,7.9,74,1010.6,22.55,2.0,4.41
2018-03-14,30.7,18.9,0.1,0.1,0.0,4.65,7.8,70,1009.3,20.82,1.0,4.67
2018-03-15,26.6,19.5,47.9,47.9,0.0,8.15,15.8,301,1006.7,8.45,12.0,2.17
2018-03-16,25.2,15.8,0.0,0.0,0.0,4.94,9.3,157,1013.2,24.55,0.0,4.81
2018-03-17,27.4,18.1,0.1,0.1,0.0,4.0,7.6,110,1011.1,18.91,1.0,3.72
2018-03-18,34.7,20.8,1.3,1.3,0.0,5.49,12.5,352,1005.8,19.26,2.0,4.31
2018-03-19,25.4,20.2,11.9,11.9,0.0,5.02,9.5,253,1009.1,14.68,8.0,3.06
2018-03-20,21.8,17.9,13.4,13.4,0.0,3.77,6.8,50,1013.3,8.68,9.0,1.8
2018-03-21,23.5,16.3,1.0,1.0,0.0,4.71,9.5,206,1015.3,15.8,8.0,3.14
2018-03-22,24.5,17.0,0.4,0.4,0.0,5.46,10.3,126,1013.7,22.81,2.0,4.22
2018-03-23,29.0,18.1,1.2,1.2,0.0,4.15,7.5,83,1010.4,19.35,2.0,3.79
2018-03-24,28.8,21.0,18.4,18.4,0.0,5.9,15.8,11,1009.7,7.68,8.0,1.85
2018-03-25,23.7,18.0,11.8,11.8,0.0,8.04,14.4,267,1011.3,9.65,17.0,2.02
2018-03-26,21.7,16.1,1.2,1.2,0.0,6.01,11.2,152,1019.6,9.73,9.0,2.44
2018-03-27,22.6,20.5,4.0,4.0,0.0,5.84,10.0,115,1018.1,4.19,16.0,1.24
2018-03-28,25.6,19.9,0.5,0.5,0.0,3.48,6.2,144,1016.1,8.5,3.0,1.76
2018-03-29,26.6,21.4,7.9,7.9,0.0,4.46,8.5,137,1015.4,11.98,10.0,2.36
2018-03-30,27.0,21.8,0.4,0.4,0.0,4.39,8.6,142,1013.7,14.94,4.0,2.88
2018-03-31,23.8,21.2,29.9,29.9,0.0,2.31,4.1,155,1011.5,4.73,18.0,1.04
2018-04-01,24.7,20.7,12.1,12.1,0.0,3.73,6.1,224,1008.1,9.69,15.0,1.88
2018-04-02,23.8,20.3,8.3,8.3,0.0,5.78,11.7,215,1008.8,9.72,18.0,1.96
2018-04-03,24.6,19.1,5.4,5.4,0.0,2.98,6.1,177,1011.1,12.91,8.0,2.36
2018-04-04,24.2,18.8,7.2,7.2,0.0,4.03,7.0,147,1011.6,13.89,8.0,2.58
2018-04-05,25.2,18.2,0.4,0.4,0.0,4.08,8.0,136,1012.3,15.81,1.0,2.99
2018-04-06,25.5,17.9,0.0,0.0,0.0,5.05,8.8,120,1013.6,17.91,0.0,3.3
2018-04-07,28.5,17.4,0.0,0.0,0.0,2.9,5.6,1,1013.5,18.64,0.0,3.52
2018-04-08,27.2,19.4,0.0,0.0,0.0,4.69,8.9,141,1016.5,18.98,0.0,3.68
2018-04-09,28.1,20.6,0.0,0.0,0.0,5.15,8.8,109,1016.5,18.17,0.0,3.61
2018-04-10,29.9,19.5,0.0,0.0,0.0,4.33,7.8,60,1014.7,19.06,0.0,3.84
2018-04-11,31.5,19.9,0.0,0.0,0.0,3.86,7.1,27,1013.4,19.09,0.0,4.12
2018-04-12,32.1,21.7,0.2,0.2,0.0,6.97,14.1,313,1013.9,18.75,1.0,4.27
2018-04-13,23.2,19.8,4.7,4.7,0.0,9.5,16.5,153,1021.7,3.1,11.0,1.71
2018-04-14,22.8,19.1,0.0,0.0,0.0,6.48,11.7,112,1025.7,8.37,0.0,3.1
2018-04-15,23.5,19.0,1.2,1.2,0.0,6.71,11.9,103,1026.2,12.25,5.0,2.95
2018-04-16,24.7,18.6,0.0,0.0,0.0,7.06,12.5,96,1024.9,16.35,0.0,3.59
2018-04-17,25.6,15.9,0.0,0.0,0.0,4.1,8.2,93,1022.7,18.74,0.0,3.5
2018-04-18,27.9,16.8,0.0,0.0,0.0,2.73,6.1,351,1020.6,18.27,0.0,3.52
2018-04-19,29.6,16.8,0.0,0.0,0.0,2.97,6.6,333,1017.9,17.87,0.0,3.56
2018-04-20,30.7,17.2,0.0,0.0,0.0,2.75,5.9,341,1016.0,16.83,0.0,3.48
2018-04-21,24.1,19.9,9.1,9.1,0.0,4.03,13.0,54,1015.1,8.85,11.0,1.68
2018-04-22,28.8,18.9,1.5,1.5,0.0,2.35,5.8,35,1014.3,15.89,2.0,2.97
2018-04-23,30.6,20.7,6.1,6.1,0.0,4.84,10.5,347,1015.4,13.48,7.0,2.87
2018-04-24,29.1,20.3,0.3,0.3,0.0,4.4,8.8,167,1017.8,14.78,2.0,2.89
2018-04-25,27.8,22.1,0.1,0.1,0.0,3.09,5.2,159,1018.1,10.82,1.0,2.17
2018-04-26,26.8,20.3,0.3,0.3,0.0,4.04,7.2,143,1017.2,11.5,3.0,2.34
2018-04-27,29.4,19.4,0.0,0.0,0.0,2.96,6.1,47,1015.8,15.34,0.0,3.04
2018-04-28,30.5,20.0,0.0,0.0,0.0,3.58,6.2,19,1016.7,15.83,0.0,3.17
2018-04-29,30.2,20.4,0.0,0.0,0.0,2.79,6.3,47,1014.8,15.43,0.0,3.08
2018-04-30,27.6,22.1,3.7,3.7,0.0,4.71,12.5,268,1014.5,10.29,6.0,2.43
2018-05-01,22.4,19.7,3.4,3.4,0.0,4.64,8.3,134,1019.6,2.5,13.0,1.07
2018-05-02,24.4,19.0,2.4,2.4,0.0,4.72,8.7,98,1018.1,8.76,8.0,2.12
2018-05-03,27.7,20.1,0.0,0.0,0.0,4.6,8.8,303,1013.8,11.81,0.0,2.55
2018-05-04,27.5,18.5,0.0,0.0,0.0,4.19,7.9,175,1015.6,14.48,0.0,2.74
2018-05-05,25.1,20.2,0.0,0.0,0.0,5.05,9.1,141,1019.1,10.41,0.0,2.2
2018-05-06,25.2,20.9,0.1,0.1,0.0,6.44,11.9,118,1022.4,9.54,1.0,2.37
2018-05-07,24.1,19.5,0.3,0.3,0.0,5.8,10.8,108,1023.3,9.08,3.0,2.49
2018-05-08,26.1,17.9,0.0,0.0,0.0,5.32,9.1,87,1021.0,15.48,0.0,3.1
2018-05-09,26.4,17.3,0.0,0.0,0.0,3.23,6.0,68,1018.1,13.13,0.0,2.56
2018-05-10,28.3,19.0,0.0,0.0,0.0,3.31,7.2,20,1013.5,11.8,0.0,2.64
2018-05-11,22.6,18.5,9.2,9.2,0.0,8.57,14.9,299,1009.9,4.66,9.0,1.74
2018-05-12,21.3,15.2,0.0,0.0,0.0,5.41,9.6,279,1015.5,10.92,0.0,2.35
2018-05-13,20.5,12.0,0.0,0.0,0.0,3.33,5.6,150,1018.7,14.8,0.0,2.62
2018-05-14,24.1,12.1,0.0,0.0,0.0,2.72,5.8,64,1015.9,14.73,0.0,2.57
