time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2020-01-01,33.3,23.4,8.6,8.6,8.83,214
2020-01-02,26.1,22.1,2.0,2.0,9.32,149
2020-01-03,26.9,20.9,0.7,0.7,7.92,114
2020-01-04,28.2,20.8,0.7,0.7,7.04,100
2020-01-05,29.5,19.9,0.1,0.1,5.4,111
2020-01-06,35.3,21.4,0.0,0.0,6.51,319
2020-01-07,29.3,23.0,0.6,0.6,6.86,141
2020-01-08,31.4,21.8,0.0,0.0,6.39,113
2020-01-09,36.6,21.1,0.0,0.0,4.98,114
2020-01-10,35.1,23.7,22.8,22.8,4.04,175
2020-01-11,28.1,23.2,4.3,4.3,5.49,154
2020-01-12,29.9,22.7,0.0,0.0,5.2,133
2020-01-13,28.0,21.8,0.0,0.0,7.18,131
2020-01-14,32.9,20.9,0.0,0.0,5.42,103
2020-01-15,33.9,23.8,11.2,11.2,5.15,337
2020-01-16,25.1,19.6,17.2,17.2,8.22,173
2020-01-17,24.6,16.0,0.0,0.0,5.27,110
2020-01-18,28.9,16.6,0.0,0.0,5.55,117
2020-01-19,31.7,18.8,0.0,0.0,5.41,113
2020-01-20,33.6,22.6,0.0,0.0,4.43,116
2020-01-21,30.8,22.5,37.9,37.9,4.96,100
2020-01-22,27.4,22.0,0.3,0.3,7.6,96
2020-01-23,27.9,20.8,2.2,2.2,7.88,112
2020-01-24,27.7,20.7,0.2,0.2,6.6,134
2020-01-25,31.9,18.2,0.0,0.0,4.24,301
2020-01-26,32.9,21.3,0.0,0.0,4.7,309
2020-01-27,32.3,23.5,8.6,8.6,7.91,166
2020-01-28,30.3,21.7,0.6,0.6,7.29,125
2020-01-29,27.9,22.5,8.6,8.6,4.34,39
2020-01-30,27.9,22.8,1.4,1.4,4.69,299
2020-01-31,27.4,22.1,24.5,24.5,5.09,207
2020-02-01,27.0,19.7,1.8,1.8,5.72,124
2020-02-02,29.9,20.1,0.1,0.1,6.24,111
2020-02-03,30.0,22.5,0.4,0.4,6.81,96
2020-02-04,31.2,21.3,0.4,0.4,8.5,93
