time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2015-01-01,28.7,23.8,47.6,47.6,0.0,4.71,14.3,319,1004.8,10.29,16.0,2.31
2015-01-02,26.2,20.6,1.0,1.0,0.0,4.24,8.1,222,1010.8,18.31,2.0,3.76
2015-01-03,27.3,18.4,0.0,0.0,0.0,3.94,8.0,112,1015.7,28.53,0.0,5.69
2015-01-04,29.1,17.9,0.0,0.0,0.0,4.34,8.1,130,1015.5,32.28,0.0,6.54
2015-01-05,30.7,18.5,0.0,0.0,0.0,4.09,7.8,109,1014.7,31.19,0.0,6.24
2015-01-06,34.1,22.3,0.9,0.9,0.0,3.83,8.2,3,1012.1,29.4,1.0,6.37
2015-01-07,33.0,24.9,13.3,13.3,0.0,4.17,10.2,307,1010.6,22.14,4.0,4.82
2015-01-08,29.5,23.9,11.6,11.6,0.0,3.71,11.1,284,1011.6,14.8,14.0,3.04
2015-01-09,31.6,23.5,14.8,14.8,0.0,4.62,11.9,318,1010.3,19.17,6.0,4.05
2015-01-10,31.1,23.5,7.5,7.5,0.0,3.81,9.4,296,1011.3,19.65,7.0,4.02
2015-01-11,32.9,22.6,3.0,3.0,0.0,2.46,8.4,347,1011.1,27.7,2.0,5.8
2015-01-12,31.4,24.9,0.0,0.0,0.0,5.41,13.5,282,1011.0,23.8,0.0,4.95
2015-01-13,32.8,23.3,0.5,0.5,0.0,4.57,9.0,82,1010.8,28.1,1.0,5.84
2015-01-14,33.8,23.7,31.1,31.1,0.0,5.99,11.5,300,1010.6,21.02,9.0,4.52
2015-01-15,26.4,22.8,6.9,6.9,0.0,5.57,10.9,128,1016.7,13.21,9.0,2.98
2015-01-16,28.8,22.0,1.2,1.2,0.0,4.53,8.0,97,1014.5,17.46,3.0,3.73
2015-01-17,26.3,22.7,20.6,20.6,0.0,4.12,9.8,235,1011.4,8.9,15.0,1.81
2015-01-18,27.9,21.9,1.2,1.2,0.0,4.24,9.6,140,1013.2,21.2,6.0,4.34
2015-01-19,31.6,21.2,0.2,0.2,0.0,2.25,6.1,141,1012.5,28.24,2.0,5.79
2015-01-20,27.7,22.5,9.2,9.2,0.0,7.16,11.3,163,1013.2,13.06,10.0,2.84
2015-01-21,26.0,20.5,3.4,3.4,0.0,6.66,12.7,141,1018.2,23.1,11.0,4.45
2015-01-22,25.3,18.7,0.0,0.0,0.0,6.82,12.4,109,1020.1,24.65,0.0,5.34
2015-01-23,28.2,17.5,0.0,0.0,0.0,5.63,10.2,99,1017.4,30.89,0.0,6.45
2015-01-24,29.9,17.6,0.6,0.6,0.0,3.64,7.3,103,1012.3,28.46,2.0,5.83
2015-01-25,31.6,20.9,1.4,1.4,0.0,2.75,9.2,262,1010.3,27.94,3.0,5.7
2015-01-26,31.3,22.1,0.3,0.3,0.0,3.73,6.3,111,1010.5,26.85,2.0,5.69
2015-01-27,33.3,22.7,0.6,0.6,0.0,2.95,8.3,350,1010.2,26.42,2.0,5.64
2015-01-28,32.2,23.7,9.2,9.2,0.0,3.14,8.4,333,1008.7,22.9,10.0,4.78
2015-01-29,24.9,20.5,28.4,28.4,0.0,7.89,15.7,201,1010.6,9.14,11.0,2.09
2015-01-30,24.6,18.4,1.1,1.1,0.0,5.12,10.1,126,1017.8,20.59,5.0,4.28
2015-01-31,26.7,19.0,0.1,0.1,0.0,5.77,11.3,103,1017.6,19.76,1.0,4.59
2015-02-01,29.4,20.8,0.7,0.7,0.0,4.0,7.8,100,1014.8,21.19,2.0,4.49
2015-02-02,30.1,20.1,0.9,0.9,0.0,3.56,7.6,111,1012.9,25.24,1.0,5.1
2015-02-03,30.4,21.4,2.2,2.2,0.0,5.06,10.0,109,1010.7,24.1,4.0,4.94
2015-02-04,27.2,22.4,0.4,0.4,0.0,8.09,14.9,100,1009.3,20.94,2.0,4.31
2015-02-05,27.3,20.9,2.1,2.1,0.0,6.19,11.8,115,1009.8,23.59,3.0,4.52
2015-02-06,26.9,20.6,0.5,0.5,0.0,5.05,9.9,137,1009.6,23.72,3.0,4.71
2015-02-07,27.2,19.0,0.0,0.0,0.0,4.71,8.9,198,1009.2,21.96,0.0,4.5
2015-02-08,28.9,16.7,0.0,0.0,0.0,3.89,7.2,107,1010.4,29.46,0.0,5.92
2015-02-09,31.9,20.0,1.4,1.4,0.0,4.66,9.1,350,1008.5,26.47,2.0,5.41
2015-02-10,33.0,21.9,0.7,0.7,0.0,3.64,9.8,336,1009.6,24.73,2.0,5.18
2015-02-11,29.6,23.5,2.4,2.4,0.0,2.06,9.5,190,1011.7,12.91,9.0,2.76
2015-02-12,29.7,22.9,0.6,0.6,0.0,3.47,9.6,226,1012.1,17.63,3.0,3.59
2015-02-13,29.2,23.0,0.1,0.1,0.0,6.07,11.8,160,1015.0,20.9,1.0,4.5
2015-02-14,26.3,21.9,0.9,0.9,0.0,7.26,14.1,124,1016.9,20.26,6.0,4.17
2015-02-15,26.8,21.3,0.0,0.0,0.0,6.33,11.9,109,1017.0,19.92,0.0,4.86
2015-02-16,26.7,20.6,0.3,0.3,0.0,4.97,10.1,102,1015.8,18.95,2.0,4.29
2015-02-17,27.9,19.3,0.8,0.8,0.0,5.82,11.1,108,1013.6,23.22,3.0,4.78
2015-02-18,29.7,20.4,0.7,0.7,0.0,5.25,10.0,94,1008.6,26.11,1.0,5.5
2015-02-19,31.5,21.1,23.5,23.5,0.0,3.34,9.4,25,1005.4,22.19,7.0,4.59
2015-02-20,26.3,22.8,10.3,10.3,0.0,5.6,11.4,196,1012.0,13.77,11.0,2.75
2015-02-21,27.3,21.7,0.4,0.4,0.0,6.53,11.8,115,1018.0,18.02,2.0,3.67
