time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2019-01-01,35.0,24.0,0.0,0.0,0.0,5.73,10.3,113,1011.3,29.21,0.0,6.79
2019-01-02,36.5,24.7,0.3,0.3,0.0,4.85,10.1,333,1008.6,25.76,2.0,6.34
2019-01-03,29.8,21.5,6.2,6.2,0.0,7.21,13.2,210,1007.2,15.23,13.0,3.6
2019-01-04,25.4,20.7,6.3,6.3,0.0,5.88,10.9,145,1013.2,14.08,12.0,3.1
2019-01-05,28.2,20.9,0.1,0.1,0.0,6.22,11.5,108,1013.6,19.99,1.0,4.7
2019-01-06,33.5,21.1,0.1,0.1,0.0,5.64,9.5,71,1009.2,27.65,1.0,6.22
2019-01-07,33.4,24.6,3.5,3.5,0.0,9.28,22.4,335,1004.1,19.8,5.0,5.63
2019-01-08,31.6,22.2,0.1,0.1,0.0,5.25,9.0,6,1011.9,26.83,1.0,6.24
2019-01-09,29.8,23.6,2.3,2.3,0.0,5.22,11.9,1,1010.4,15.67,6.0,3.45
2019-01-10,30.2,23.1,0.9,0.9,0.0,5.59,14.8,338,1009.9,19.08,1.0,4.26
2019-01-11,26.5,21.6,0.2,0.2,0.0,6.98,12.9,154,1016.0,16.28,2.0,3.7
2019-01-12,28.3,22.2,1.6,1.6,0.0,6.09,10.7,109,1015.9,13.29,9.0,3.22
2019-01-13,30.9,22.6,0.7,0.7,0.0,4.08,8.4,103,1013.2,25.53,2.0,5.25
2019-01-14,31.4,23.5,8.7,8.7,0.0,3.55,8.6,304,1011.8,21.34,8.0,4.46
2019-01-15,31.8,24.6,4.9,4.9,0.0,3.23,9.0,350,1010.7,16.75,8.0,3.63
2019-01-16,29.9,24.9,3.4,3.4,0.0,7.67,19.2,302,1009.0,15.98,13.0,3.56
2019-01-17,26.0,21.3,19.7,19.7,0.0,5.33,9.0,128,1013.8,9.16,23.0,1.95
2019-01-18,29.5,21.9,12.0,12.0,0.0,6.03,12.0,100,1011.7,13.6,9.0,2.98
2019-01-19,24.5,20.3,18.0,18.0,0.0,10.52,19.2,153,1014.2,18.73,19.0,3.59
2019-01-20,24.7,20.3,1.7,1.7,0.0,6.16,11.7,129,1015.6,20.66,12.0,3.92
2019-01-21,27.3,21.9,1.3,1.3,0.0,4.39,9.1,131,1013.6,20.02,9.0,4.03
2019-01-22,30.9,20.4,0.0,0.0,0.0,5.15,9.7,113,1014.3,30.63,0.0,6.27
2019-01-23,31.4,21.7,0.2,0.2,0.0,4.47,7.7,151,1013.3,21.07,1.0,4.63
2019-01-24,29.5,24.2,2.6,2.6,0.0,7.13,13.0,126,1015.2,23.96,8.0,4.87
2019-01-25,30.9,22.5,0.0,0.0,0.0,6.82,11.8,97,1015.0,29.27,0.0,6.62
2019-01-26,34.0,23.0,0.0,0.0,0.0,5.63,10.2,88,1013.4,29.92,0.0,6.75
2019-01-27,33.4,23.4,0.0,0.0,0.0,3.8,7.0,82,1012.7,27.37,0.0,6.22
2019-01-28,35.9,24.7,0.0,0.0,0.0,5.88,11.9,328,1012.9,28.37,0.0,7.21
2019-01-29,35.9,25.3,1.0,1.0,0.0,6.64,13.4,329,1013.2,25.92,1.0,6.5
2019-01-30,35.7,26.5,0.9,0.9,0.0,7.03,15.9,300,1010.8,25.46,2.0,6.61
2019-01-31,34.5,24.8,10.8,10.8,0.0,5.14,14.7,185,1011.4,24.26,5.0,5.38
2019-02-01,32.4,24.1,6.1,6.1,0.0,4.47,8.8,122,1012.1,22.56,4.0,4.72
2019-02-02,29.1,23.5,21.5,21.5,0.0,7.41,12.7,176,1013.6,15.98,14.0,3.47
2019-02-03,24.2,21.1,2.7,2.7,0.0,6.53,11.6,144,1018.9,11.06,5.0,3.51
2019-02-04,24.9,18.0,0.4,0.4,0.0,5.52,10.7,128,1019.6,22.18,3.0,4.56
2019-02-05,26.6,19.7,0.0,0.0,0.0,6.26,11.8,116,1018.2,25.68,0.0,5.54
2019-02-06,28.4,17.9,0.0,0.0,0.0,5.98,11.3,107,1014.6,28.93,0.0,5.77
2019-02-07,29.1,18.7,0.0,0.0,0.0,4.48,8.7,111,1010.8,26.85,0.0,5.56
2019-02-08,30.8,20.8,0.1,0.1,0.0,4.75,8.0,120,1009.4,26.69,1.0,5.84
2019-02-09,35.1,22.5,0.0,0.0,0.0,3.54,7.2,51,1008.6,26.95,0.0,6.04
2019-02-10,31.2,25.0,1.9,1.9,0.0,6.19,11.6,341,1007.1,13.75,8.0,3.61
2019-02-11,32.8,22.9,5.8,5.8,0.0,4.92,13.6,327,1007.0,21.08,8.0,4.48
2019-02-12,25.2,19.5,1.4,1.4,0.0,8.71,15.7,194,1016.4,21.27,8.0,4.64
2019-02-13,25.3,17.9,0.6,0.6,0.0,6.13,11.7,131,1018.7,20.7,5.0,4.51
2019-02-14,28.4,20.1,0.1,0.1,0.0,6.62,12.1,112,1014.4,23.58,1.0,5.51
2019-02-15,24.7,21.0,19.6,19.6,0.0,5.05,10.4,133,1010.7,11.7,19.0,2.34
2019-02-16,26.8,21.4,1.9,1.9,0.0,6.98,13.0,110,1013.2,21.05,7.0,4.31
2019-02-17,28.6,20.7,0.0,0.0,0.0,6.12,11.3,107,1014.0,26.1,0.0,5.63
2019-02-18,29.9,22.2,0.5,0.5,0.0,5.63,10.9,99,1011.4,24.06,3.0,5.29
2019-02-19,29.6,20.9,5.1,5.1,0.0,3.23,8.6,267,1008.0,23.2,5.0,4.51
2019-02-20,32.1,22.4,0.0,0.0,0.0,5.72,10.3,119,1010.0,27.31,0.0,6.01
2019-02-21,32.3,20.6,0.0,0.0,0.0,5.82,10.1,101,1013.6,27.81,0.0,6.19
2019-02-22,32.6,20.3,0.0,0.0,0.0,3.67,6.7,78,1012.5,27.39,0.0,5.8
2019-02-23,35.3,22.1,0.0,0.0,0.0,4.7,9.5,311,1007.4,26.37,0.0,6.26
2019-02-24,32.4,23.4,6.3,6.3,0.0,7.72,16.9,291,1004.5,16.57,7.0,4.01
2019-02-25,23.2,19.9,17.0,17.0,0.0,4.02,7.7,220,1009.8,4.93,24.0,1.16
2019-02-26,22.8,19.5,4.9,4.9,0.0,4.82,9.4,150,1014.7,15.09,19.0,2.77
2019-02-27,24.2,18.9,1.4,1.4,0.0,4.52,8.4,128,1015.5,18.82,9.0,3.65
2019-02-28,25.4,17.7,0.5,0.5,0.0,3.81,6.9,106,1015.2,21.29,4.0,4.14
2019-03-01,28.2,16.6,0.0,0.0,0.0,4.25,7.2,86,1013.7,26.95,0.0,5.31
2019-03-02,30.4,18.3,0.0,0.0,0.0,5.23,10.1,301,1012.0,26.59,0.0,5.62
2019-03-03,26.8,21.5,0.3,0.3,0.0,5.92,10.2,141,1015.0,19.12,3.0,4.12
2019-03-04,34.5,19.9,0.3,0.3,0.0,5.38,8.9,64,1012.5,24.44,2.0,5.58
2019-03-05,33.1,23.5,3.6,3.6,0.0,4.3,9.6,336,1013.7,20.19,2.0,4.67
2019-03-06,30.0,22.8,1.1,1.1,0.0,3.96,7.5,49,1013.8,12.88,4.0,2.74
2019-03-07,31.3,22.8,0.9,0.9,0.0,4.25,11.0,333,1011.0,19.65,2.0,4.26
2019-03-08,28.7,23.1,7.4,7.4,0.0,5.72,10.0,284,1011.0,14.51,15.0,3.14
2019-03-09,23.5,20.9,62.6,62.6,0.0,11.1,19.6,156,1016.1,6.58,20.0,1.8
2019-03-10,23.5,20.4,0.0,0.0,0.0,7.3,13.5,130,1020.7,17.12,0.0,3.97
2019-03-11,25.1,19.2,0.0,0.0,0.0,6.82,12.6,99,1018.2,19.33,0.0,4.14
2019-03-12,27.3,19.4,0.8,0.8,0.0,3.5,8.9,47,1012.9,15.08,5.0,3.01
2019-03-13,25.5,20.8,8.5,8.5,0.0,4.64,8.6,303,1009.9,9.18,12.0,1.88
2019-03-14,26.6,17.9,0.0,0.0,0.0,5.15,9.8,279,1011.8,23.27,0.0,4.35
2019-03-15,26.9,18.7,0.0,0.0,0.0,5.6,10.6,127,1015.0,22.69,0.0,4.44
2019-03-16,29.1,21.1,0.0,0.0,0.0,5.97,10.7,104,1015.5,21.29,0.0,4.68
