time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,vapour_pressure_deficit,et0_fao_evapotranspiration,shortwave_radiation,weather_code,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
2013-01-01 00:00:00,25.1,84,22.1,0.0,0.0,0.0,1005.6,1003.9,99,4.03,337,5.3,0.52,0.03,0.0,3,25.2,26.6,0.445,0.487
2013-01-01 01:00:00,25.3,81,21.9,0.0,0.0,0.0,1005.3,1003.6,97,5.16,324,7.6,0.6,0.04,0.0,3,25.1,26.5,0.446,0.487
2013-01-01 02:00:00,25.2,81,21.6,0.0,0.0,0.0,1005.1,1003.4,100,5.45,317,8.0,0.62,0.05,0.0,3,25.0,26.4,0.447,0.486
2013-01-01 03:00:00,24.9,81,21.5,0.0,0.0,0.0,1004.4,1002.7,100,5.5,307,7.6,0.59,0.05,0.0,3,24.8,26.3,0.449,0.485
2013-01-01 04:00:00,24.6,81,21.2,1.5,1.5,0.0,1005.2,1003.5,100,5.01,299,10.8,0.57,0.04,0.0,61,24.7,26.1,0.462,0.485
2013-01-01 05:00:00,23.6,89,21.6,4.8,4.8,0.0,1005.3,1003.6,100,5.2,330,10.7,0.32,0.02,0.0,63,24.4,26.0,0.519,0.485
2013-01-01 06:00:00,23.5,89,21.5,5.2,5.2,0.0,1005.4,1003.7,100,5.13,327,9.9,0.33,0.04,1.0,63,24.3,25.9,0.52,0.5
2013-01-01 07:00:00,23.7,89,21.7,1.9,1.9,0.0,1006.2,1004.5,100,5.58,303,10.5,0.34,0.06,27.0,61,24.3,25.8,0.462,0.52
2013-01-01 08:00:00,23.7,92,22.4,1.4,1.4,0.0,1007.4,1005.7,100,6.36,278,10.7,0.22,0.07,75.0,61,24.4,25.7,0.415,0.494
2013-01-01 09:00:00,23.4,92,22.0,0.8,0.8,0.0,1008.7,1007.0,98,6.24,254,11.4,0.23,0.1,137.0,53,24.5,25.6,0.429,0.493
2013-01-01 10:00:00,23.4,84,20.4,0.5,0.5,0.0,1010.5,1008.8,100,5.06,245,10.4,0.47,0.18,246.0,53,24.5,25.5,0.436,0.492
2013-01-01 11:00:00,23.2,78,19.1,0.1,0.1,0.0,1011.6,1009.9,100,4.64,233,10.4,0.64,0.2,264.0,51,24.5,25.4,0.438,0.491
2013-01-01 12:00:00,23.0,75,18.3,0.0,0.0,0.0,1012.3,1010.6,100,4.66,215,10.8,0.71,0.21,272.0,3,24.5,25.3,0.44,0.489
2013-01-01 13:00:00,22.9,72,17.6,0.0,0.0,0.0,1012.9,1011.1,100,4.92,207,11.1,0.79,0.23,283.0,3,24.6,25.3,0.44,0.488
2013-01-01 14:00:00,22.8,71,17.2,0.0,0.0,0.0,1013.3,1011.5,100,4.93,198,10.6,0.81,0.21,237.0,3,24.5,25.2,0.44,0.487
2013-01-01 15:00:00,23.1,67,16.6,0.0,0.0,0.0,1013.7,1011.9,100,5.14,193,10.0,0.94,0.28,365.0,3,24.9,25.2,0.44,0.486
2013-01-01 16:00:00,21.9,70,16.1,0.0,0.0,0.0,1014.2,1012.4,100,4.97,195,9.5,0.8,0.17,158.0,3,24.3,25.1,0.44,0.485
2013-01-01 17:00:00,21.7,69,15.7,0.0,0.0,0.0,1014.3,1012.5,98,4.39,192,8.9,0.81,0.15,124.0,3,23.8,25.0,0.441,0.484
2013-01-01 18:00:00,21.5,68,15.4,0.0,0.0,0.0,1014.7,1012.9,95,3.61,183,7.9,0.82,0.12,87.0,3,23.4,24.9,0.441,0.484
2013-01-01 19:00:00,21.2,67,14.9,0.0,0.0,0.0,1014.6,1012.8,66,2.7,180,6.2,0.83,0.09,60.0,2,23.0,24.8,0.442,0.483
2013-01-01 20:00:00,20.8,65,13.9,0.0,0.0,0.0,1015.4,1013.6,87,3.11,174,6.5,0.86,0.08,4.0,3,22.5,24.7,0.442,0.482
2013-01-01 21:00:00,20.3,62,12.7,0.0,0.0,0.0,1016.2,1014.4,60,3.77,169,6.7,0.92,0.06,0.0,2,22.0,24.5,0.443,0.482
2013-01-01 22:00:00,19.9,59,11.6,0.0,0.0,0.0,1016.8,1015.0,93,3.88,168,6.9,0.96,0.07,0.0,3,21.5,24.3,0.443,0.481
2013-01-01 23:00:00,19.6,57,10.9,0.0,0.0,0.0,1017.7,1015.9,100,3.47,168,6.7,0.98,0.07,0.0,3,21.2,24.2,0.444,0.48
2013-01-02 00:00:00,19.3,58,10.8,0.0,0.0,0.0,1018.5,1016.7,100,2.86,168,5.8,0.95,0.05,0.0,3,20.9,24.0,0.444,0.48
2013-01-02 01:00:00,18.8,62,11.4,0.0,0.0,0.0,1018.6,1016.8,100,2.35,168,4.4,0.83,0.04,0.0,3,20.6,23.8,0.445,0.479
2013-01-02 02:00:00,18.2,74,13.6,0.0,0.0,0.0,1018.1,1016.3,100,2.04,169,3.1,0.54,0.01,0.0,3,20.3,23.6,0.445,0.479
2013-01-02 03:00:00,18.5,65,11.9,0.0,0.0,0.0,1017.9,1016.1,100,1.81,174,2.7,0.74,0.02,0.0,3,20.1,23.4,0.446,0.478
2013-01-02 04:00:00,17.9,67,11.7,0.0,0.0,0.0,1018.6,1016.8,89,1.51,188,3.2,0.68,0.01,0.0,3,20.0,23.3,0.447,0.478
2013-01-02 05:00:00,17.5,72,12.4,0.0,0.0,0.0,1019.1,1017.3,82,1.53,191,2.8,0.56,0.01,0.0,3,19.7,23.1,0.447,0.477
2013-01-02 06:00:00,17.3,78,13.4,0.0,0.0,0.0,1019.5,1017.7,99,1.75,193,2.7,0.44,0.03,6.0,3,19.5,22.9,0.448,0.477
2013-01-02 07:00:00,18.0,72,12.9,0.0,0.0,0.0,1020.2,1018.4,95,2.33,205,3.5,0.58,0.07,88.0,3,19.9,22.8,0.448,0.477
2013-01-02 08:00:00,18.9,67,12.7,0.0,0.0,0.0,1020.2,1018.4,84,2.6,196,5.0,0.72,0.17,249.0,3,20.9,22.7,0.448,0.476
2013-01-02 09:00:00,20.2,63,12.8,0.0,0.0,0.0,1020.3,1018.5,73,2.77,167,6.1,0.88,0.31,504.0,2,22.5,22.7,0.447,0.475
2013-01-02 10:00:00,21.2,56,12.1,0.0,0.0,0.0,1020.1,1018.3,90,2.31,162,6.5,1.11,0.44,703.0,3,23.8,22.8,0.444,0.474
2013-01-02 11:00:00,21.7,53,11.8,0.0,0.0,0.0,1020.5,1018.7,94,1.87,164,6.1,1.22,0.45,693.0,3,24.5,22.9,0.442,0.474
2013-01-02 12:00:00,22.5,51,12.0,0.0,0.0,0.0,1020.1,1018.3,98,1.97,156,5.6,1.33,0.54,833.0,3,25.8,23.1,0.439,0.473
2013-01-02 13:00:00,23.2,50,12.3,0.0,0.0,0.0,1019.7,1017.9,100,2.56,149,6.3,1.41,0.6,931.0,3,26.8,23.3,0.436,0.472
2013-01-02 14:00:00,23.4,50,12.5,0.0,0.0,0.0,1019.5,1017.7,100,3.0,150,7.0,1.43,0.55,825.0,3,27.0,23.5,0.432,0.471
2013-01-02 15:00:00,23.1,51,12.4,0.0,0.0,0.0,1019.3,1017.5,92,3.45,150,7.6,1.39,0.46,672.0,3,26.5,23.7,0.43,0.47
2013-01-02 16:00:00,22.7,53,12.7,0.0,0.0,0.0,1019.0,1017.2,94,3.72,149,7.6,1.29,0.39,563.0,3,26.0,23.8,0.428,0.469
2013-01-02 17:00:00,22.3,55,12.7,0.0,0.0,0.0,1018.7,1016.9,83,4.22,149,8.0,1.22,0.32,436.0,3,25.3,23.9,0.426,0.468
2013-01-02 18:00:00,21.6,58,12.9,0.0,0.0,0.0,1018.7,1016.9,95,4.52,152,8.6,1.09,0.23,297.0,3,24.4,23.9,0.426,0.467
2013-01-02 19:00:00,20.6,63,13.2,0.0,0.0,0.0,1019.0,1017.2,27,4.25,153,8.4,0.9,0.12,108.0,1,23.3,23.9,0.425,0.467
2013-01-02 20:00:00,19.9,64,13.0,0.0,0.0,0.0,1019.7,1017.9,27,4.08,144,7.3,0.83,0.08,8.0,1,22.2,23.8,0.426,0.466
2013-01-02 21:00:00,19.3,67,13.0,0.0,0.0,0.0,1020.1,1018.3,19,3.97,131,6.9,0.74,0.05,0.0,0,21.5,23.7,0.426,0.466
2013-01-02 22:00:00,18.7,69,13.0,0.0,0.0,0.0,1020.4,1018.6,22,3.91,122,6.7,0.66,0.05,0.0,1,20.8,23.5,0.426,0.466
2013-01-02 23:00:00,18.4,71,13.0,0.0,0.0,0.0,1020.8,1019.0,19,3.76,119,6.4,0.62,0.04,0.0,0,20.4,23.4,0.427,0.465
2013-01-03 00:00:00,18.1,73,13.1,0.0,0.0,0.0,1020.8,1019.0,14,3.53,115,6.0,0.57,0.03,0.0,0,20.0,23.2,0.427,0.465
2013-01-03 01:00:00,17.6,75,13.2,0.0,0.0,0.0,1020.5,1018.7,20,3.09,119,5.2,0.5,0.02,0.0,1,19.6,23.0,0.428,0.465
2013-01-03 02:00:00,17.0,79,13.3,0.0,0.0,0.0,1019.7,1017.9,22,2.94,125,4.5,0.41,0.02,0.0,1,19.1,22.8,0.428,0.464
2013-01-03 03:00:00,16.7,80,13.3,0.0,0.0,0.0,1019.3,1017.5,34,2.86,126,4.1,0.37,0.01,0.0,1,18.8,22.6,0.429,0.464
2013-01-03 04:00:00,16.9,80,13.4,0.0,0.0,0.0,1019.2,1017.4,86,3.02,124,4.9,0.38,0.02,0.0,3,18.7,22.4,0.429,0.464
2013-01-03 05:00:00,17.2,80,13.6,0.0,0.0,0.0,1019.8,1018.0,100,3.0,120,4.9,0.4,0.02,0.0,3,18.8,22.3,0.43,0.463
2013-01-03 06:00:00,17.6,80,14.1,0.0,0.0,0.0,1020.3,1018.5,96,3.35,117,5.2,0.4,0.04,6.0,3,18.9,22.1,0.43,0.463
2013-01-03 07:00:00,18.7,79,15.0,0.0,0.0,0.0,1020.6,1018.8,62,3.2,110,5.9,0.45,0.07,83.0,2,19.5,22.0,0.43,0.463
2013-01-03 08:00:00,20.3,73,15.3,0.0,0.0,0.0,1021.2,1019.4,45,3.55,100,7.1,0.65,0.16,229.0,1,20.8,22.0,0.43,0.462
2013-01-03 09:00:00,21.6,67,15.2,0.0,0.0,0.0,1021.1,1019.3,37,4.0,93,8.4,0.85,0.27,408.0,1,21.9,22.0,0.429,0.462
2013-01-03 10:00:00,23.1,63,15.6,0.0,0.0,0.0,1021.0,1019.2,29,4.0,93,8.7,1.05,0.42,653.0,1,23.5,22.1,0.427,0.461
2013-01-03 11:00:00,24.4,60,16.1,0.0,0.0,0.0,1020.6,1018.8,20,4.21,94,8.9,1.23,0.55,852.0,1,25.1,22.3,0.424,0.46
2013-01-03 12:00:00,25.5,57,16.5,0.0,0.0,0.0,1020.0,1018.3,30,4.3,93,9.0,1.39,0.64,980.0,1,26.4,22.5,0.42,0.459
2013-01-03 13:00:00,26.4,55,16.7,0.0,0.0,0.0,1019.4,1017.7,31,4.24,98,9.0,1.54,0.69,1031.0,1,27.5,22.8,0.416,0.458
2013-01-03 14:00:00,26.8,54,16.6,0.0,0.0,0.0,1018.6,1016.9,24,4.3,102,9.1,1.64,0.67,989.0,1,28.0,23.1,0.412,0.457
2013-01-03 15:00:00,26.9,53,16.5,0.0,0.0,0.0,1018.1,1016.4,25,4.54,104,9.3,1.67,0.59,846.0,1,28.1,23.4,0.409,0.456
2013-01-03 16:00:00,26.3,57,17.1,0.0,0.0,0.0,1017.7,1016.0,20,4.68,106,9.0,1.47,0.48,671.0,1,27.8,23.7,0.406,0.455
2013-01-03 17:00:00,25.6,61,17.4,0.0,0.0,0.0,1017.3,1015.6,1,5.31,110,9.9,1.29,0.4,562.0,0,27.2,23.9,0.404,0.455
2013-01-03 18:00:00,24.4,66,17.6,0.0,0.0,0.0,1017.2,1015.5,0,5.35,111,10.0,1.05,0.27,366.0,0,26.3,24.0,0.403,0.454
2013-01-03 19:00:00,23.0,70,17.2,0.0,0.0,0.0,1016.8,1015.0,0,4.98,112,9.6,0.85,0.13,148.0,0,25.0,24.0,0.403,0.454
2013-01-03 20:00:00,21.8,73,16.8,0.0,0.0,0.0,1017.0,1015.2,0,4.75,112,9.1,0.71,0.07,10.0,0,23.7,24.0,0.403,0.453
2013-01-03 21:00:00,21.2,75,16.6,0.0,0.0,0.0,1017.1,1015.3,0,4.59,110,8.6,0.62,0.05,0.0,0,22.8,24.0,0.404,0.453
2013-01-03 22:00:00,20.7,77,16.5,0.0,0.0,0.0,1017.3,1015.5,0,4.46,106,8.4,0.57,0.04,0.0,0,22.2,23.9,0.404,0.453
2013-01-03 23:00:00,20.4,78,16.5,0.0,0.0,0.0,1017.5,1015.7,0,4.46,99,8.0,0.53,0.04,0.0,0,21.7,23.7,0.405,0.452
2013-01-04 00:00:00,20.1,80,16.5,0.0,0.0,0.0,1017.7,1015.9,0,4.0,90,7.6,0.47,0.03,0.0,0,21.3,23.6,0.405,0.452
2013-01-04 01:00:00,19.8,81,16.5,0.0,0.0,0.0,1017.6,1015.8,0,3.54,82,7.0,0.43,0.02,0.0,0,21.0,23.5,0.406,0.452
