time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2011-01-01,29.4,20.2,0.0,0.0,5.94,112
2011-01-02,27.8,21.2,1.7,1.7,7.86,104
2011-01-03,26.7,21.7,1.3,1.3,6.65,108
2011-01-04,29.9,22.4,0.1,0.1,3.47,146
2011-01-05,32.7,21.7,0.0,0.0,3.91,104
2011-01-06,32.4,23.1,3.5,3.5,2.95,184
2011-01-07,32.5,22.5,1.3,1.3,4.37,114
2011-01-08,33.5,23.5,6.2,6.2,3.62,135
2011-01-09,29.9,24.0,7.1,7.1,4.16,189
2011-01-10,28.7,22.6,0.5,0.5,6.66,127
2011-01-11,28.2,21.2,0.3,0.3,5.3,105
2011-01-12,28.2,21.2,9.1,9.1,4.46,112
2011-01-13,26.9,21.1,4.5,4.5,4.95,112
2011-01-14,30.3,20.6,2.6,2.6,4.53,131
2011-01-15,29.8,22.1,2.7,2.7,5.51,114
2011-01-16,32.3,21.9,1.4,1.4,4.62,70
2011-01-17,33.0,24.0,10.5,10.5,4.67,262
2011-01-18,27.9,23.0,8.6,8.6,4.88,141
2011-01-19,27.5,22.5,3.3,3.3,4.47,107
2011-01-20,29.7,20.9,0.5,0.5,5.86,146
2011-01-21,29.0,21.9,1.3,1.3,6.87,110
2011-01-22,28.4,22.6,12.2,12.2,4.69,123
2011-01-23,28.7,22.5,1.7,1.7,4.91,197
2011-01-24,30.6,21.8,0.0,0.0,3.0,194
2011-01-25,31.9,22.5,2.6,2.6,3.04,131
2011-01-26,33.8,23.1,3.5,3.5,3.61,337
2011-01-27,32.2,24.8,27.8,27.8,4.41,310
2011-01-28,31.5,24.8,14.9,14.9,4.0,292
2011-01-29,28.9,24.0,15.9,15.9,5.05,140
2011-01-30,29.7,22.4,0.0,0.0,5.81,107
2011-01-31,31.2,21.3,0.5,0.5,3.91,74
2011-02-01,26.9,22.0,5.1,5.1,6.43,187
2011-02-02,26.7,20.2,0.0,0.0,5.88,115
