time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,precipitation_hours,et0_fao_evapotranspiration
2006-01-01,27.9,21.5,5.2,5.2,0.0,4.59,9.7,172,1008.6,18.51,13.0,3.72
2006-01-02,27.8,21.6,2.9,2.9,0.0,4.47,9.7,182,1009.1,20.22,6.0,4.15
2006-01-03,28.6,20.7,0.2,0.2,0.0,5.37,10.8,163,1010.4,25.82,2.0,5.46
2006-01-04,28.7,19.5,0.0,0.0,0.0,5.46,10.5,149,1010.0,25.54,0.0,5.48
2006-01-05,29.0,20.9,0.2,0.2,0.0,5.82,11.3,130,1010.3,23.09,1.0,5.39
2006-01-06,32.4,18.8,0.0,0.0,0.0,4.65,9.4,124,1011.1,30.81,0.0,6.85
2006-01-07,35.7,19.9,0.0,0.0,0.0,5.36,10.3,99,1010.9,30.96,0.0,7.32
2006-01-08,38.5,23.1,18.7,18.7,0.0,5.52,11.1,335,1009.6,27.4,4.0,6.85
2006-01-09,33.8,23.4,0.0,0.0,0.0,3.91,7.8,109,1010.8,26.05,0.0,5.9
2006-01-10,37.2,24.0,3.6,3.6,0.0,4.55,10.8,330,1011.1,29.03,2.0,6.78
2006-01-11,35.5,24.3,0.0,0.0,0.0,4.05,7.7,125,1013.7,27.05,0.0,6.31
2006-01-12,36.8,23.6,0.0,0.0,0.0,3.74,8.3,1,1012.6,29.48,0.0,7.1
2006-01-13,35.9,24.9,11.9,11.9,0.0,3.77,10.6,244,1015.0,25.08,5.0,5.86
2006-01-14,32.7,23.9,5.1,5.1,0.0,4.52,9.5,118,1014.1,25.08,6.0,5.48
2006-01-15,36.7,24.0,6.1,6.1,0.0,3.6,8.8,355,1010.6,28.2,3.0,6.41
2006-01-16,38.4,24.0,17.2,17.2,0.0,5.8,12.7,194,1011.4,26.74,9.0,6.21
2006-01-17,23.6,20.3,4.3,4.3,0.0,6.19,11.9,149,1018.8,6.78,12.0,2.16
2006-01-18,22.9,19.9,12.9,12.9,0.0,5.35,10.5,115,1017.1,8.68,16.0,2.37
2006-01-19,26.8,19.8,21.4,21.4,0.0,4.68,9.1,84,1010.8,10.47,18.0,2.13
2006-01-20,30.9,20.4,0.0,0.0,0.0,2.12,8.1,4,1009.8,27.14,0.0,5.54
2006-01-21,31.2,21.7,10.2,10.2,0.0,3.71,7.6,316,1010.7,21.11,3.0,4.37
2006-01-22,27.5,23.0,2.0,2.0,0.0,5.46,10.8,150,1012.4,20.1,9.0,4.08
2006-01-23,25.3,21.7,7.5,7.5,0.0,5.33,10.2,120,1011.1,11.44,12.0,2.48
2006-01-24,28.0,21.5,11.5,11.5,0.0,3.1,6.9,63,1009.1,13.5,14.0,2.78
2006-01-25,28.3,22.3,17.5,17.5,0.0,5.97,12.6,272,1008.2,14.53,17.0,2.84
2006-01-26,26.1,20.3,1.8,1.8,0.0,5.91,11.4,160,1015.3,21.86,9.0,4.36
2006-01-27,28.8,19.0,0.0,0.0,0.0,4.56,8.6,115,1015.4,26.09,0.0,5.33
2006-01-28,30.0,19.9,1.6,1.6,0.0,2.97,6.4,125,1012.9,26.08,4.0,5.22
2006-01-29,31.1,21.0,0.0,0.0,0.0,3.24,6.2,85,1010.1,28.82,0.0,5.96
2006-01-30,32.4,21.4,0.4,0.4,0.0,5.14,10.2,178,1009.2,28.03,1.0,6.06
2006-01-31,26.5,22.1,1.0,1.0,0.0,4.94,10.3,149,1014.0,19.43,6.0,4.2
2006-02-01,29.1,20.5,0.3,0.3,0.0,5.82,10.7,116,1013.7,23.71,2.0,5.07
2006-02-02,30.9,21.9,0.0,0.0,0.0,4.74,9.3,109,1012.0,26.15,0.0,5.65
2006-02-03,33.2,21.2,0.1,0.1,0.0,4.2,8.5,157,1009.7,26.73,1.0,5.93
2006-02-04,33.3,23.0,0.4,0.4,0.0,3.44,8.6,109,1008.5,22.83,2.0,5.1
2006-02-05,33.8,24.8,23.0,23.0,0.0,4.83,11.8,304,1006.4,20.33,6.0,4.76
2006-02-06,29.2,22.0,10.1,10.1,0.0,6.09,11.4,240,1007.5,18.36,9.0,3.77
2006-02-07,26.1,18.4,0.0,0.0,0.0,5.02,9.7,136,1009.0,22.84,0.0,4.73
2006-02-08,26.7,18.3,0.0,0.0,0.0,4.83,9.2,130,1011.8,27.3,0.0,5.62
2006-02-09,27.9,18.1,0.0,0.0,0.0,5.48,10.6,147,1014.4,28.04,0.0,5.81
2006-02-10,26.6,18.3,0.0,0.0,0.0,5.02,9.4,144,1017.1,24.69,0.0,5.05
2006-02-11,25.7,19.2,0.0,0.0,0.0,6.22,12.3,114,1016.3,21.44,0.0,4.27
2006-02-12,27.5,20.2,5.3,5.3,0.0,4.11,9.4,123,1012.9,19.05,6.0,3.93
2006-02-13,26.2,20.6,1.4,1.4,0.0,4.72,9.4,155,1013.4,14.02,6.0,2.95
2006-02-14,28.1,20.7,0.0,0.0,0.0,4.11,8.5,137,1014.1,24.25,0.0,5.1
2006-02-15,30.2,19.4,0.2,0.2,0.0,4.05,8.8,112,1012.6,22.68,1.0,4.71
2006-02-16,26.5,22.3,10.8,10.8,0.0,3.49,7.2,76,1011.4,12.54,11.0,2.58
2006-02-17,28.9,20.3,1.0,1.0,0.0,3.76,7.8,178,1011.3,21.46,4.0,4.37
2006-02-18,28.7,21.8,1.2,1.2,0.0,5.38,10.6,134,1013.9,20.32,7.0,4.36
2006-02-19,29.0,22.2,3.0,3.0,0.0,6.22,12.1,107,1015.7,20.67,3.0,4.33
2006-02-20,27.5,22.4,4.7,4.7,0.0,6.21,11.6,101,1013.6,15.95,6.0,3.38
2006-02-21,28.1,20.9,16.9,16.9,0.0,4.2,9.8,152,1007.8,19.95,7.0,4.05
2006-02-22,29.0,19.6,0.7,0.7,0.0,4.43,8.7,232,1004.9,22.73,4.0,4.51
2006-02-23,28.8,21.3,1.0,1.0,0.0,4.37,7.5,123,1005.8,20.74,5.0,4.31
2006-02-24,28.5,21.5,20.6,20.6,0.0,5.5,12.5,298,1002.8,18.69,12.0,3.81
2006-02-25,24.8,18.6,1.3,1.3,0.0,8.42,16.3,279,1004.7,12.14,5.0,3.16
2006-02-26,25.3,19.8,2.4,2.4,0.0,4.4,10.3,205,1009.3,20.43,10.0,3.83
2006-02-27,26.9,18.5,0.0,0.0,0.0,2.75,4.9,113,1011.7,21.51,0.0,4.24
2006-02-28,30.3,18.0,0.0,0.0,0.0,3.86,7.3,94,1012.1,26.87,0.0,5.56
2006-03-01,30.8,19.8,0.0,0.0,0.0,4.27,7.6,125,1010.9,23.8,0.0,5.02
2006-03-02,30.6,22.8,0.2,0.2,0.0,4.39,8.9,117,1012.2,19.88,1.0,4.23
2006-03-03,29.3,23.1,10.0,10.0,0.0,3.62,8.1,88,1010.7,15.01,12.0,3.12
2006-03-04,27.3,22.7,1.6,1.6,0.0,6.56,11.8,295,1008.2,10.56,5.0,2.52
2006-03-05,27.2,18.4,0.0,0.0,0.0,6.6,12.5,261,1010.0,20.13,0.0,4.59
2006-03-06,27.6,17.4,0.0,0.0,0.0,3.04,7.7,222,1009.8,21.87,0.0,4.34
2006-03-07,28.9,17.3,0.0,0.0,0.0,4.6,8.5,103,1009.0,25.25,0.0,5.12
2006-03-08,32.3,18.2,0.0,0.0,0.0,3.61,7.8,16,1006.7,25.36,0.0,5.35
2006-03-09,33.8,21.6,2.0,2.0,0.0,4.03,8.5,280,1006.2,21.05,4.0,4.81
2006-03-10,25.5,19.6,0.0,0.0,0.0,5.23,10.2,159,1013.6,18.85,0.0,4.49
2006-03-11,27.2,16.0,0.0,0.0,0.0,5.63,10.4,105,1015.5,24.93,0.0,5.59
2006-03-12,29.8,17.6,0.0,0.0,0.0,4.5,8.6,86,1013.9,22.93,0.0,5.22
2006-03-13,31.9,19.1,0.0,0.0,0.0,4.74,8.7,83,1011.5,23.57,0.0,5.26
2006-03-14,31.6,20.2,0.0,0.0,0.0,4.79,9.2,99,1012.3,24.25,0.0,5.33
2006-03-15,33.1,19.7,0.0,0.0,0.0,4.22,8.0,96,1011.2,24.0,0.0,5.24
2006-03-16,35.1,20.5,0.0,0.0,0.0,4.03,7.4,100,1010.6,23.61,0.0,5.32
2006-03-17,36.1,20.4,0.0,0.0,0.0,3.77,8.3,36,1009.2,23.19,0.0,5.54
2006-03-18,35.0,23.8,3.6,3.6,0.0,5.83,11.8,177,1011.6,20.29,5.0,4.96
2006-03-19,30.6,23.9,3.7,3.7,0.0,4.2,9.2,111,1011.1,14.67,10.0,3.29
2006-03-20,26.7,22.4,7.8,7.8,0.0,4.78,8.8,176,1012.0,8.08,17.0,1.9
2006-03-21,27.4,21.2,0.0,0.0,0.0,5.98,11.0,117,1017.0,18.32,0.0,4.55
2006-03-22,29.9,21.3,0.8,0.8,0.0,4.8,10.0,98,1015.5,12.0,2.0,3.13
2006-03-23,28.0,22.2,15.1,15.1,0.0,3.33,7.4,64,1009.5,6.26,20.0,1.41
2006-03-24,29.2,23.2,1.2,1.2,0.0,6.17,13.4,281,1007.8,18.42,7.0,3.8
