time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2008-01-01,30.9,21.5,0.0,0.0,5.13,117
2008-01-02,31.2,21.7,1.9,1.9,4.47,103
2008-01-03,32.7,21.9,2.7,2.7,3.41,314
2008-01-04,29.3,23.2,0.6,0.6,6.02,185
2008-01-05,28.2,21.9,1.7,1.7,4.83,155
2008-01-06,26.6,20.5,0.3,0.3,5.44,117
2008-01-07,28.9,17.6,0.1,0.1,4.4,107
2008-01-08,31.6,19.6,0.0,0.0,2.38,140
2008-01-09,32.8,18.4,0.0,0.0,3.6,92
2008-01-10,34.4,20.7,0.0,0.0,3.32,34
2008-01-11,29.3,21.6,22.9,22.9,6.73,204
2008-01-12,26.2,20.4,0.0,0.0,5.69,117
2008-01-13,27.0,19.9,0.0,0.0,6.91,101
2008-01-14,30.7,19.8,0.0,0.0,5.26,105
2008-01-15,32.3,21.0,0.0,0.0,3.51,76
2008-01-16,33.3,22.5,12.3,12.3,6.72,311
2008-01-17,25.0,20.5,3.9,3.9,4.61,141
2008-01-18,28.7,19.2,0.9,0.9,4.21,142
2008-01-19,23.2,19.3,30.9,30.9,5.17,188
2008-01-20,23.6,18.0,1.4,1.4,5.24,160
2008-01-21,25.4,15.0,0.0,0.0,5.44,118
2008-01-22,26.7,16.3,0.0,0.0,7.32,99
2008-01-23,26.4,17.7,0.0,0.0,7.86,95
2008-01-24,28.3,19.0,0.0,0.0,6.0,97
2008-01-25,27.5,19.9,0.0,0.0,7.12,101
2008-01-26,27.9,19.8,0.0,0.0,8.14,99
2008-01-27,28.0,19.6,0.0,0.0,7.58,91
2008-01-28,29.6,19.2,0.1,0.1,6.14,91
2008-01-29,29.7,20.4,1.8,1.8,4.93,89
2008-01-30,23.0,19.2,9.1,9.1,5.87,103
2008-01-31,24.9,19.2,8.2,8.2,5.61,104
2008-02-01,24.9,20.2,9.7,9.7,4.75,120
2008-02-02,25.7,20.0,26.5,26.5,4.24,166
2008-02-03,24.1,18.1,1.0,1.0,6.22,208
2008-02-04,25.0,15.0,0.0,0.0,3.13,275
2008-02-05,29.7,14.2,0.0,0.0,3.08,337
2008-02-06,30.1,19.8,0.0,0.0,4.66,111
2008-02-07,32.1,19.1,0.0,0.0,3.34,60
2008-02-08,31.7,19.1,0.0,0.0,5.8,84
2008-02-09,31.7,19.5,8.0,8.0,5.0,16
2008-02-10,26.9,21.5,14.3,14.3,3.61,266
2008-02-11,22.4,19.8,14.5,14.5,5.69,149
2008-02-12,24.1,19.4,14.7,14.7,4.56,111
2008-02-13,26.2,18.8,0.3,0.3,4.62,259
2008-02-14,28.2,17.7,0.0,0.0,4.18,131
2008-02-15,28.8,18.2,0.0,0.0,3.98,123
2008-02-16,27.8,21.7,7.7,7.7,3.36,153
2008-02-17,26.9,21.7,0.3,0.3,4.74,153
2008-02-18,27.9,19.5,0.0,0.0,4.37,124
2008-02-19,28.3,20.7,0.7,0.7,5.48,103
2008-02-20,27.9,20.9,3.8,3.8,4.43,137
2008-02-21,27.1,20.4,1.6,1.6,3.54,171
2008-02-22,28.8,18.7,0.0,0.0,3.66,134
2008-02-23,28.5,20.2,0.0,0.0,5.02,136
2008-02-24,29.0,19.2,0.0,0.0,5.15,108
2008-02-25,28.9,21.1,0.4,0.4,6.0,96
2008-02-26,29.2,20.9,0.2,0.2,6.71,97
2008-02-27,29.6,22.0,0.0,0.0,6.51,89
2008-02-28,27.6,22.3,0.2,0.2,5.84,88
2008-02-29,23.9,21.7,30.2,30.2,4.9,85
2008-03-01,28.0,20.2,17.2,17.2,2.12,21
2008-03-02,27.2,20.5,6.3,6.3,3.58,336
2008-03-03,27.4,21.2,2.8,2.8,4.94,304
2008-03-04,27.6,21.3,5.3,5.3,5.91,304
2008-03-05,27.0,20.8,0.0,0.0,5.81,303
2008-03-06,28.2,18.9,0.0,0.0,4.49,311
2008-03-07,30.0,18.9,0.0,0.0,2.32,333
2008-03-08,30.6,18.9,0.0,0.0,3.38,121
2008-03-09,30.8,21.7,2.0,2.0,2.56,129
2008-03-10,28.5,22.2,0.8,0.8,3.1,190
2008-03-11,23.8,20.1,0.9,0.9,5.9,170
2008-03-12,25.2,18.9,1.3,1.3,4.15,160
2008-03-13,24.9,17.6,0.3,0.3,5.36,165
2008-03-14,24.5,17.3,0.2,0.2,5.15,164
2008-03-15,25.8,17.6,0.6,0.6,5.48,114
2008-03-16,27.8,16.4,0.0,0.0,4.83,101
2008-03-17,28.5,15.5,0.0,0.0,3.54,101
2008-03-18,28.2,18.6,0.1,0.1,5.17,110
2008-03-19,31.2,21.5,0.1,0.1,4.98,81
2008-03-20,30.7,22.9,0.2,0.2,4.4,326
2008-03-21,31.1,20.7,0.9,0.9,4.41,95
2008-03-22,30.5,21.2,11.9,11.9,6.48,178
2008-03-23,23.9,20.7,0.5,0.5,5.25,126
2008-03-24,24.5,17.8,0.0,0.0,4.54,132
2008-03-25,28.1,19.2,0.0,0.0,5.04,97
2008-03-26,30.5,18.5,0.1,0.1,4.22,4
2008-03-27,29.2,20.3,4.4,4.4,4.7,183
2008-03-28,26.1,21.0,1.9,1.9,5.51,151
2008-03-29,25.1,19.1,0.4,0.4,5.58,119
2008-03-30,25.7,17.1,0.0,0.0,5.79,101
2008-03-31,27.4,17.1,0.5,0.5,4.12,59
2008-04-01,27.1,19.4,3.1,3.1,5.3,325
2008-04-02,25.7,19.2,0.9,0.9,3.55,234
2008-04-03,22.0,15.7,2.1,2.1,3.94,231
