time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,vapour_pressure_deficit,et0_fao_evapotranspiration,shortwave_radiation,weather_code,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
2003-01-01 00:00:00,23.0,90,21.4,0.0,0.0,0.0,1010.7,1009.0,45,2.42,173,4.7,0.27,0.0,0.0,1,24.3,25.7,0.433,0.426
2003-01-01 01:00:00,22.9,91,21.3,0.0,0.0,0.0,1010.2,1008.5,45,2.3,178,4.7,0.25,0.0,0.0,1,24.2,25.6,0.432,0.426
2003-01-01 02:00:00,22.6,92,21.3,0.0,0.0,0.0,1010.1,1008.4,51,2.22,188,4.7,0.22,0.0,0.0,2,24.0,25.4,0.432,0.426
2003-01-01 03:00:00,22.4,93,21.2,0.0,0.0,0.0,1009.8,1008.1,59,2.06,194,4.1,0.2,0.0,0.0,2,23.8,25.3,0.432,0.426
2003-01-01 04:00:00,22.2,94,21.2,0.0,0.0,0.0,1009.8,1008.0,95,2.04,191,3.7,0.16,0.0,0.0,3,23.6,25.2,0.432,0.426
2003-01-01 05:00:00,22.1,94,21.1,0.0,0.0,0.0,1010.2,1008.4,100,2.22,188,3.7,0.16,0.0,0.0,3,23.4,25.1,0.433,0.426
2003-01-01 06:00:00,22.2,93,21.0,0.1,0.1,0.0,1010.4,1008.6,100,2.3,180,4.1,0.18,0.02,4.0,51,23.4,25.0,0.433,0.426
2003-01-01 07:00:00,22.4,92,21.0,0.0,0.0,0.0,1011.0,1009.2,95,2.38,165,4.6,0.22,0.04,32.0,3,23.5,24.9,0.434,0.426
2003-01-01 08:00:00,22.8,89,20.8,0.0,0.0,0.0,1011.1,1009.4,96,2.89,166,5.6,0.31,0.07,81.0,3,23.8,24.8,0.433,0.426
2003-01-01 09:00:00,23.3,85,20.6,0.0,0.0,0.0,1011.3,1009.6,94,3.1,165,5.7,0.43,0.1,116.0,3,24.1,24.7,0.433,0.426
2003-01-01 10:00:00,23.7,81,20.3,0.0,0.0,0.0,1011.4,1009.7,88,2.75,170,5.8,0.55,0.13,156.0,3,24.4,24.7,0.433,0.426
2003-01-01 11:00:00,24.0,80,20.3,0.1,0.1,0.0,1011.5,1009.8,100,2.73,172,5.8,0.61,0.15,169.0,51,24.6,24.7,0.433,0.426
2003-01-01 12:00:00,24.2,79,20.3,0.0,0.0,0.0,1011.3,1009.6,100,2.65,169,5.6,0.65,0.15,168.0,3,24.8,24.7,0.432,0.426
